arm,seed,event_idx,z_true,host_galaxy_index,in_catalog,host_draw_mode,s_tilde_phi_host,SNR,candidate_count_no_bh,candidate_count_with_bh,h_fiducial_used,L_cat_no_bh,L_cat_with_bh,B_num,B_num_wbh,g_frac,combined_no_bh,combined_with_bh,impostor_share_proxy_no_bh
bc,900101,0,0.2888145889115512,10791058.0,True,catalogue_selected,0.6456652581460561,31.71527396330816,6806,1596,0.73,0.0797050069719356,0.0006416451259485,26642520.291520435,3497867.583052792,0.1312889,0.0410341419508865,0.0037330314903694,
bc,900101,1,0.1399706337820377,9395586.0,True,catalogue_selected,0.8547759691829862,385.538769323715,23,20,0.73,0.090513039352501,0.0240824501483854,2384193.9497525413,243397.61606832623,0.102088,0.0171703499220118,0.0017493080248753,
bc,900101,2,0.200882311571994,11311856.0,True,catalogue_selected,0.7211881449044129,81.67219967312538,134,49,0.73,0.0789795744643595,0.0030720234100377,8687959.33716551,1265524.3362840624,0.1456642,0.0219591373221204,0.0015265845632984,
bc,900101,3,0.1163680470536264,154375.0,True,catalogue_selected,0.9010896182507766,158.93501165546587,39,31,0.73,0.0161859455511686,0.0060202970216549,382853.7423542921,38294.033460338855,0.1000226,0.0030245501498532,0.0004134920618367,
bc,900101,5,0.2379710142629953,19142281.0,True,catalogue_selected,0.7169123151376593,61.121842277459976,200,35,0.73,0.091003328465306,0.0004616666300223,13424266.800613835,2511981.667190236,0.1871224,0.0289065319504008,0.0026809178208683,
bc,900101,7,0.1079739940798883,1566826.0,True,catalogue_selected,0.9520168898667684,135.05974619098578,103,72,0.73,0.0163752195886949,0.0119688918836393,488224.1096801054,40039.61617315888,0.08201073,0.0031664480543195,0.0007839507915848,
bc,900101,8,0.3662049767946729,14944724.0,True,catalogue_selected,0.5806536868068537,21.13513636457883,18277,601,0.73,0.0075611790748463,1.0295787441383624e-07,19356417.793328576,5220756.4293639455,0.2697171,0.0216617988270586,0.0055124126257154,
bc,900101,9,0.3375571132364938,8111837.0,True,catalogue_selected,0.5621464701403652,49.2070697785198,360,53,0.73,0.0182476516807881,3.095708068201504e-05,36558793.872981794,5331723.440129813,0.1458397,0.0415551708232579,0.0056314905765169,
bc,900101,11,0.1640823715448116,5590045.0,True,catalogue_selected,0.705104235784189,1424.7236072062765,1,0,0.73,0.1271121114056788,0.0,3660820.830931981,474722.6447891388,0.1296766,0.0244432408500339,0.0005012423214023,
bc,900101,12,0.0924874118893752,5386571.0,True,catalogue_selected,0.8300752100993535,270.0169486273753,67,48,0.73,0.0608233990395238,0.0076912295648479,301206.9134092677,33715.127857024294,0.1119334,0.0101646061686364,0.0005121997738726,
