arm,seed,channel,covariate,eta2,top_quartile,n
bc,900101,no_bh,z_true,0.531979230820553,3.0,106
bc,900101,no_bh,log_candcount_no_bh,0.08288031872484151,3.0,106
bc,900101,with_bh,z_true,0.5630553962874412,3.0,106
bc,900101,with_bh,log_candcount_with_bh,0.0047796916500128855,2.0,106
bc,900102,no_bh,z_true,0.45836862391150335,3.0,120
bc,900102,no_bh,log_candcount_no_bh,0.07234030360883864,3.0,120
bc,900102,with_bh,z_true,0.603922702022234,3.0,120
bc,900102,with_bh,log_candcount_with_bh,0.03559945011158313,3.0,120
bc,900103,no_bh,z_true,0.272755101979358,3.0,105
bc,900103,no_bh,log_candcount_no_bh,0.08388072388087882,2.0,105
bc,900103,with_bh,z_true,0.5052010937493525,3.0,105
bc,900103,with_bh,log_candcount_with_bh,0.0014034769685835433,0.0,105
bc,900104,no_bh,z_true,0.5537911710776051,3.0,130
bc,900104,no_bh,log_candcount_no_bh,0.09615073667194861,3.0,130
bc,900104,with_bh,z_true,0.6698384401947968,3.0,130
bc,900104,with_bh,log_candcount_with_bh,0.008135143411181179,2.0,130
bc,900105,no_bh,z_true,0.3816711174960521,3.0,111
bc,900105,no_bh,log_candcount_no_bh,0.07540288905539604,3.0,111
bc,900105,with_bh,z_true,0.4650165520951197,3.0,111
bc,900105,with_bh,log_candcount_with_bh,0.060890207403694795,1.0,111
bc,900106,no_bh,z_true,0.5181667880197004,3.0,124
bc,900106,no_bh,log_candcount_no_bh,0.09830422914350832,3.0,124
bc,900106,with_bh,z_true,0.5960194536470887,3.0,124
bc,900106,with_bh,log_candcount_with_bh,0.026963261712535963,3.0,124
bc,900107,no_bh,z_true,0.42860889458107365,3.0,112
bc,900107,no_bh,log_candcount_no_bh,0.01383890723379801,3.0,112
bc,900107,with_bh,z_true,0.49986214677800334,3.0,112
bc,900107,with_bh,log_candcount_with_bh,0.00656384346674932,1.0,112
bc,900108,no_bh,z_true,0.4970427225564135,3.0,121
bc,900108,no_bh,log_candcount_no_bh,0.16505523002817912,3.0,121
bc,900108,with_bh,z_true,0.4986257058398264,3.0,121
bc,900108,with_bh,log_candcount_with_bh,0.05956305110662637,2.0,121
bc,900109,no_bh,z_true,0.5926933283016377,3.0,108
bc,900109,no_bh,log_candcount_no_bh,0.0586014011059211,3.0,108
bc,900109,with_bh,z_true,0.6867270813899784,3.0,108
bc,900109,with_bh,log_candcount_with_bh,0.01698523128848561,1.0,108
bc,900110,no_bh,z_true,0.33012358286084437,3.0,131
bc,900110,no_bh,log_candcount_no_bh,0.005080871534400399,2.0,131
bc,900110,with_bh,z_true,0.3970475834489718,3.0,131
bc,900110,with_bh,log_candcount_with_bh,0.014732093344687858,1.0,131
bc,900111,no_bh,z_true,,,116
bc,900111,no_bh,log_candcount_no_bh,0.03956212063800937,2.0,116
bc,900111,with_bh,z_true,,,116
bc,900111,with_bh,log_candcount_with_bh,0.0020550711335832706,2.0,116
bc,900112,no_bh,z_true,,,113
bc,900112,no_bh,log_candcount_no_bh,0.060732724208335975,3.0,113
bc,900112,with_bh,z_true,,,113
bc,900112,with_bh,log_candcount_with_bh,0.008933200554488182,3.0,113
bt,900101,no_bh,z_true,0.5229144702821458,3.0,106
bt,900101,no_bh,log_candcount_no_bh,0.0836551273224529,3.0,106
bt,900101,with_bh,z_true,0.5630553962874412,3.0,106
bt,900101,with_bh,log_candcount_with_bh,0.0047796916500128855,2.0,106
bt,900102,no_bh,z_true,0.44186703662267224,3.0,120
bt,900102,no_bh,log_candcount_no_bh,0.06999089110804264,3.0,120
bt,900102,with_bh,z_true,0.603922702022234,3.0,120
bt,900102,with_bh,log_candcount_with_bh,0.03559945011158313,3.0,120
bt,900103,no_bh,z_true,0.2682472835625355,3.0,105
bt,900103,no_bh,log_candcount_no_bh,0.0823531409365312,2.0,105
bt,900103,with_bh,z_true,0.5052010937493525,3.0,105
bt,900103,with_bh,log_candcount_with_bh,0.0014034769685835433,0.0,105
bt,900104,no_bh,z_true,0.5430517140317149,3.0,130
bt,900104,no_bh,log_candcount_no_bh,0.09644273202209526,3.0,130
bt,900104,with_bh,z_true,0.6698384401947968,3.0,130
bt,900104,with_bh,log_candcount_with_bh,0.008135143411181179,2.0,130
bt,900105,no_bh,z_true,0.36380186942790416,3.0,111
bt,900105,no_bh,log_candcount_no_bh,0.07511973517604909,3.0,111
bt,900105,with_bh,z_true,0.4650165520951197,3.0,111
bt,900105,with_bh,log_candcount_with_bh,0.060890207403694795,1.0,111
bt,900106,no_bh,z_true,0.5066970961114237,3.0,124
bt,900106,no_bh,log_candcount_no_bh,0.09974762644952952,3.0,124
bt,900106,with_bh,z_true,0.5960194536470887,3.0,124
bt,900106,with_bh,log_candcount_with_bh,0.026963261712535963,3.0,124
bt,900107,no_bh,z_true,0.4142811711169413,3.0,112
bt,900107,no_bh,log_candcount_no_bh,0.013770417027877322,3.0,112
bt,900107,with_bh,z_true,0.49986214677800334,3.0,112
bt,900107,with_bh,log_candcount_with_bh,0.00656384346674932,1.0,112
bt,900108,no_bh,z_true,0.4910180075844738,3.0,121
bt,900108,no_bh,log_candcount_no_bh,0.16271284629994362,3.0,121
bt,900108,with_bh,z_true,0.4986257058398264,3.0,121
bt,900108,with_bh,log_candcount_with_bh,0.05956305110662637,2.0,121
