arm,seed,h,n_recovered_no_bh,n_in_cat_no_bh,pct_no_bh,n_recovered_with_bh,n_in_cat_with_bh,pct_with_bh
bc,900101,0.5,91,106,85.84906,32,106,30.18868
bc,900102,0.5,105,120,87.5,44,120,36.66667
bc,900103,0.5,87,105,82.85714,27,105,25.71429
bc,900104,0.5,104,130,80.0,39,130,30.0
bc,900105,0.5,86,111,77.47748,34,111,30.63063
bc,900106,0.5,100,124,80.64516,38,124,30.64516
bc,900107,0.5,93,112,83.03571,31,112,27.67857
bc,900108,0.5,90,121,74.38017,35,121,28.92562
bc,900109,0.5,88,108,81.48148,31,108,28.7037
bc,900110,0.5,113,131,86.25954,49,131,37.40458
bc,900111,0.5,95,116,81.89655,34,116,29.31034
bc,900112,0.5,88,113,77.87611,33,113,29.20354
bt,900101,0.5,91,106,85.84906,32,106,30.18868
bt,900102,0.5,105,120,87.5,44,120,36.66667
bt,900103,0.5,87,105,82.85714,27,105,25.71429
bt,900104,0.5,104,130,80.0,39,130,30.0
bt,900105,0.5,86,111,77.47748,34,111,30.63063
bt,900106,0.5,100,124,80.64516,38,124,30.64516
bt,900107,0.5,93,112,83.03571,31,112,27.67857
bt,900108,0.5,90,121,74.38017,35,121,28.92562
bt,900109,0.5,88,108,81.48148,31,108,28.7037
bt,900110,0.5,113,131,86.25954,49,131,37.40458
bt,900111,0.5,95,116,81.89655,34,116,29.31034
bt,900112,0.5,88,113,77.87611,33,113,29.20354
