event_idx,h,w_G,w_G_legacy,w_tilde_G,alpha_G_phi,r_Malm,D_tilde_phi,L_cat_no_bh,L_cat_with_bh,B_num,B_num_wbh,g_frac,L_comp,combined_no_bh,combined_with_bh,den_log_term,num_log_term_no_bh,num_log_term_with_bh
0,0.73,0.054928786804762764,0.1215039,0.05492879,5.16352e+07,0.3367745,9.40039e+08,0.10903814557669174,0.0052673354787753455,26641892.605351333,3497765.282502311,0.1312882,0.01994342268471533,0.046125662748996404,0.0040102008676558545,20.661431921605793,17.585046113423047,15.142517974372339
1,0.73,0.054928786804762764,0.1215039,0.05492879,5.16352e+07,0.3367745,9.40039e+08,0.09650182070491335,0.04888758114229976,2384218.0571914585,243400.16735792655,0.102088,0.0017847631619665482,0.01827599006132836,0.0029442611275929294,20.661431921605793,16.65926482251453,14.833534537788124
2,0.73,0.054928786804762764,0.1215039,0.05492879,5.16352e+07,0.3367745,9.40039e+08,0.07901050701628878,0.007605601206252958,8688080.914990382,1265545.298717257,0.1456645,0.006503669711958008,0.02212907104167951,0.0017640353773775146,20.661431921605793,16.8505688184752,14.321280655209824
3,0.73,0.054928786804762764,0.1215039,0.05492879,5.16352e+07,0.3367745,9.40039e+08,0.012241244247491104,0.005914641559665914,382856.4729946155,38294.312696666224,0.1000226,0.0002865963233774632,0.0024038553827998295,0.0003656210256412269,20.661431921605793,14.630750500581888,12.747518711527471
5,0.73,0.054928786804762764,0.1215039,0.05492879,5.16352e+07,0.3367745,9.40039e+08,0.09402299917233654,0.00361211301559296,13423850.191165619,2511885.91685266,0.1871211,0.010048742496805142,0.029615490209513613,0.0028705171824965014,20.661431921605793,17.14197418495959,14.808168859121036
7,0.73,0.054928786804762764,0.1215039,0.05492879,5.16352e+07,0.3367745,9.40039e+08,0.013162200541624553,0.011516699677011707,488190.67833663407,40036.90277934277,0.08201079,0.00036544674933678567,0.00266611871969736,0.0006751890239633377,20.661431921605793,14.734300394407962,13.360914050812667
8,0.73,0.054928786804762764,0.1215039,0.05492879,5.16352e+07,0.3367745,9.40039e+08,0.012545428161753113,0.0001570502905149197,19355756.324734338,5220467.436872352,0.2697114,0.014489211989729002,0.022636567186194483,0.005562084935799429,20.661431921605793,16.873243258410767,15.469649669048684
9,0.73,0.054928786804762764,0.1215039,0.05492879,5.16352e+07,0.3367745,9.40039e+08,0.0326370818104758,0.0009119888825446495,36558035.328188606,5331570.115918888,0.1458385,0.02736638728610348,0.044213104721914406,0.00572174223259328,20.661431921605793,17.542697874684887,15.497949987756133
11,0.73,0.054928786804762764,0.1215039,0.05492879,5.16352e+07,0.3367745,9.40039e+08,0.045184784369972066,0.0012875638145907855,3661108.7828777144,474763.6164733737,0.1296775,0.0027406100997865303,0.011264388574581164,0.0005757710413647601,20.661431921605793,16.17532293847746,13.20163144768366
12,0.73,0.054928786804762764,0.1215039,0.05492879,5.16352e+07,0.3367745,9.40039e+08,0.03893881711965163,0.00640373014309519,301309.1957323667,33726.8793350469,0.1119345,0.00022555216847001359,0.006671548791632411,0.0003876272980944284,20.661431921605793,15.651528678239867,12.805965669698354
