event_idx,h,w_G,w_G_legacy,w_tilde_G,alpha_G_phi,r_Malm,D_tilde_phi,L_cat_no_bh,L_cat_with_bh,B_num,B_num_wbh,g_frac,L_comp,combined_no_bh,combined_with_bh,den_log_term,num_log_term_no_bh,num_log_term_with_bh
1,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.024439821456958673,0.002596685574582473,8285577.557827807,940068.1338976005,0.1134584,0.006202366245916043,0.012704950609252372,0.0011534920486416776,20.668906905129344,16.303143355407045,13.903945531509931
3,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.0709058781880908,0.0010662000981389963,10172080.474245729,2463965.2495065206,0.2422282,0.007614552895542944,0.022219132892493797,0.0026676800665764444,20.668906905129344,16.86210538585709,14.7423608319339
5,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.021561589195767342,0.00027073988665597193,34886200.1886971,7428086.986201887,0.2129234,0.026114895309165553,0.04032562658179218,0.007859822946556448,20.668906905129344,17.45813878833391,15.822915706451205
7,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.08976991335277193,0.001566757283855415,13320266.10068349,2647184.1178856385,0.1987336,0.009971202160970218,0.028597046414341732,0.0028921521329473873,20.668906905129344,17.114455066414255,14.823152533813733
8,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.05043433848344303,0.022069090586130668,1987689.86481456,236971.2208360702,0.1192194,0.0014879325477109317,0.010263438718420205,0.0016177610965094555,20.668906905129344,16.089739567477782,14.242194780302814
10,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.0006898278562438615,3.145443391451874e-05,6249209.762823839,421586.68905087485,0.0674624,0.004677994675213575,0.006709987387599415,0.00044708713619748855,20.668906905129344,15.664748697486617,12.95614985834602
11,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.009108837773558308,0.004706249016254191,21318.65307688433,3536.878440321032,0.1659053,1.595858506297377e-05,0.001497120271957785,0.0002953658459281215,20.668906905129344,14.164695070346621,12.54161109083556
12,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.04641285248466104,0.003055518482641067,5623664.189234015,865020.2599057127,0.1538179,0.00420972765051471,0.013451501404835298,0.001102684162363362,20.668906905129344,16.360242354577334,13.858898981228718
15,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.11598160989129706,0.008474397923475988,5918592.055402134,868318.67947398,0.1467103,0.004430502922888209,0.025025245520096245,0.001441957684558897,20.668906905129344,16.98103676229322,14.1271533196133
17,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.15453063275463552,0.00985876090566891,9516570.745228685,1386006.0199499717,0.1456413,0.007123855489266927,0.035064840589107964,0.0020743494616201168,20.668906905129344,17.318350561971688,14.490799218202325
19,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.05407530745420893,0.0006619759706748386,33212997.50942889,8133537.58369211,0.2448902,0.024862379627785564,0.0438225307192082,0.00862892615985996,20.668906905129344,17.54129971125321,15.916271692429666
20,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.07815770764518477,0.006644541813304304,1563599.3018553674,243580.97998698035,0.1557822,0.00117046946507711,0.014303735178396391,0.0006689295370416903,20.668906905129344,16.42167233059241,13.35907507594897
21,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.08799951755496054,0.0137156939240898,720558.5320571881,99229.020097589,0.1377113,0.0005393912357040295,0.015006869195175679,0.0009546905282837719,20.668906905129344,16.469659668769037,13.714783580975787
