event_idx,h,w_G,w_G_legacy,w_tilde_G,alpha_G_phi,r_Malm,D_tilde_phi,L_cat_no_bh,L_cat_with_bh,B_num,B_num_wbh,g_frac,L_comp,combined_no_bh,combined_with_bh,den_log_term,num_log_term_no_bh,num_log_term_with_bh
0,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.11130371173616295,0.003512702764065901,11163858.118321473,1838081.272392939,0.1646457,0.008356971651524296,0.02980623545142481,0.0021584340511443217,20.668906905129344,17.155869241106632,14.530534608598789
2,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.06305858772822,0.001307169060894436,8219484.4839886995,1832656.6717577802,0.2229649,0.006152890702731822,0.018887076593103076,0.002016036456689427,20.668906905129344,16.69962953618721,14.462285059868131
3,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.053056577164510794,0.006597433360399305,1014151.4549951858,198340.93449526525,0.1955733,0.0007591672045560866,0.009660023761124393,0.0006182430614762108,20.668906905129344,16.029147734112332,13.280278030658831
4,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.1271395595503562,0.006560360599856064,15363608.520921988,2534842.5938164303,0.1649901,0.011500794753361356,0.036804230943655,0.0030829726394738864,20.668906905129344,17.36676443600837,14.887045900368273
5,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.0014521077945670745,0.0005475128332026644,45198.73868776847,5850.171645697783,0.1294322,3.383459140155463e-05,0.0002828023910539761,4.010462355103871e-05,20.668906905129344,12.498144736080937,10.544887975355653
6,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.007072851508242766,0.00435253050916591,109068.83778110139,15189.33981510088,0.1392638,8.164607394154266e-05,0.001260170935086247,0.00028575043625215195,20.668906905129344,13.992399000676095,12.50851517653052
7,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.0071438647632809564,0.0006837847473172326,23325.87445995358,2804.1009020928373,0.1202142,1.746113839344956e-05,0.0011811342555019724,4.533272863198945e-05,20.668906905129344,13.927626836411966,10.667425605143812
13,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.13954380235650687,0.059098160416257366,4860879.513864825,513273.0894152966,0.1055926,0.0036387270304140376,0.027722879462443152,0.004204072645911607,20.668906905129344,17.08340967178561,15.197205359200908
14,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.004362187051639665,0.0015790730468418408,64408.460340241334,7300.883922809072,0.1133529,4.821448566229656e-05,0.0007741918759563953,0.0001055589055731982,20.668906905129344,13.505216091784682,11.512665490929074
15,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.041402872382403914,0.011187816281454791,1150908.5354228953,137352.02505711134,0.1193423,0.0008615399714048498,0.007917826695075014,0.0008382986261561657,20.668906905129344,15.8302683871295,13.584770739962453
16,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.013146231842306733,0.004765592513250361,46517.12812854771,5250.364434859126,0.1128695,3.4821503190067905e-05,0.0021773316986749007,0.0003008523823262425,20.668906905129344,14.539251761825351,12.560016067451373
20,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.0044541443240396,0.000656448098409032,2466910.507411367,346301.41532135283,0.1403786,0.001846664563342183,0.0033257929077379123,0.0004063250453901463,20.668906905129344,14.962859740318537,12.860549790863269
22,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.06196980378637249,0.0032364963206650325,9144604.531348074,1554108.9277894075,0.1699482,0.006845411328495698,0.019687616146393517,0.0018414823718031965,20.668906905129344,16.74114144221501,14.37172251026649
24,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.11103948283552685,0.005642929117622914,9422821.25029218,1647850.5413481507,0.1748787,0.007053677073953378,0.02792516267670451,0.002089579760372584,20.668906905129344,17.090679796571788,14.498114600314258
26,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.03191004058926192,0.012375283918670649,433061.8091548334,52954.91275655447,0.1222803,0.00032417872245485955,0.005623103853759962,0.0008227704127240381,20.668906905129344,15.48803542474429,13.566073545041169
28,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.032242032838082274,0.002404557042863753,939596.4128368244,180935.11478615773,0.1925668,0.0007033572536240603,0.0062116807923257664,0.00034004559089290066,20.668906905129344,15.587583144460712,12.682476046647372
29,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.08273732483930112,0.0056819231910496685,14733554.084112464,1899240.5881545285,0.1289058,0.011029152511805713,0.028950794598830223,0.0023574296789247527,20.668906905129344,17.126749277072104,14.618723532563854
31,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.07734592657866157,0.013136187399539716,9425581.837960826,819221.5263485755,0.08691469,0.007055743577544154,0.02247349817287305,0.0016789941595329043,20.668906905129344,16.873488382153084,14.279346525697491
32,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.05639601797795701,0.004318952999852735,13577397.79179155,1964566.8000293777,0.1446939,0.010163684207098341,0.023465712309651734,0.002341946285480899,20.668906905129344,16.916691931193306,14.612133955739857
33,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.09375261479526835,0.002294068185553368,10235024.264464438,2462743.805740616,0.2406192,0.0076616709675322294,0.025984203319284208,0.002742477495343664,20.668906905129344,17.01864041488358,14.770013333389688
37,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.008534232570770402,0.0026532404106164535,159151.67159902962,21961.492606252647,0.137991,0.00011913677097553165,0.0015496314939452839,0.00018760126577888913,20.668906905129344,14.199168782970585,12.087715130936653
39,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.09141822591557516,0.0018069615647396044,15292196.653408226,3048561.0700395256,0.199354,0.011447337700605058,0.03094597781449494,0.0033308361138630403,20.668906905129344,17.193394659304165,14.96437498386709
41,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.014307245305526461,0.007627798411745362,76882.08836261349,8784.419722766504,0.1142583,5.755191674300402e-05,0.002397346992146266,0.0004819457205109707,20.668906905129344,14.635514332134798,13.031227841826565
42,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.050212206833262454,0.0009438414946890062,16755029.641435385,3455418.062605107,0.2062317,0.012542376143613827,0.025819773606087518,0.003706936744773844,20.668906905129344,17.01229224336644,15.071357486445866
43,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,1.04580080411811,0.01109909400827036,21054926.830868036,5655771.403452621,0.2686199,0.01576116650584395,0.19153363259560527,0.00665949848118445,20.668906905129344,19.016215046478365,15.657195804738622
44,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.03699875340389126,0.005794456085050631,1625409.4581721644,232069.40768768458,0.142776,0.0012167389284329754,0.007705861303892558,0.0006040977605724162,20.668906905129344,15.803132873732483,13.25713238725508
45,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.07838868421678566,0.0027590213238910906,13829136.533727031,2923637.6008252082,0.2114114,0.010352129232791798,0.027291860773673366,0.00325793011610603,20.668906905129344,17.067740143727022,14.942243686160245
46,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.023097265919138608,0.0004363274540024248,11345209.873808745,2576227.6501796762,0.2270762,0.00849272682357132,0.015718161241337708,0.002747182621736682,20.668906905129344,16.51596843692626,14.771727511478968
47,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.06123337312253481,0.0031759199617147392,8874703.742595458,1681479.0358886127,0.1894688,0.006643370670470138,0.01928341853135043,0.0019722140965116593,20.668906905129344,16.72039720932944,14.440308444645328
48,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.020640495861569484,0.0015132915918094933,2649754.255871795,373704.9093195852,0.1410338,0.0019835366022329802,0.006139225526253725,0.0004883552795579981,20.668906905129344,15.575850224561174,13.044439520012705
50,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.04794744931881377,0.003974625193245855,2264120.7283999114,288648.7643450441,0.1274882,0.0016948614486433002,0.010152714700064042,0.0005510686673701774,20.668906905129344,16.07889275400884,13.165255771729525
51,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.0,0.0,2289923.052654358,299079.0837611277,0.1306066,0.0017141763924604354,0.0024178462084001972,0.00031578669328885815,20.668906905129344,14.644028773504902,12.608463311584776
54,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.040224478458214814,0.011987352606754787,2748820.718035702,290558.891764929,0.1057031,0.002057695159888051,0.0094142361461083,0.0010496089077234897,20.668906905129344,16.003374653377964,13.80956925209812
56,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.1380154462323705,0.003662074995943909,18593948.87942301,3912129.1132713915,0.210398,0.013918942898442477,0.041975704009805145,0.004357601624530422,20.668906905129344,17.498242601091782,15.233073446038397
57,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.031726914825370794,0.00402638399222342,4510051.546452639,579337.8271826187,0.1284548,0.0033761064070460347,0.00989820273054054,0.0008612039729299828,20.668906905129344,16.053504824437297,13.611727725893571
59,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.008089341160934271,0.00016859892183404231,24661580.880621966,5231405.11760702,0.2121277,0.018461013219336637,0.027348830038277767,0.005534097349763388,20.668906905129344,17.06982537670635,15.472080098568526
60,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.04011005501666072,0.0005653669145713773,30297051.124148823,7170445.003758886,0.2366714,0.02267957857273112,0.038482883822741835,0.007606045283032038,20.668906905129344,17.41136519255504,15.790094989229035
61,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.012244443037021272,0.0016811297821392372,1158267.1032916629,144852.0545062786,0.1250593,0.0008670484024887405,0.0032051992352529653,0.0002571183018353303,20.668906905129344,14.925925878473224,12.402932644571672
62,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.07819560564079893,0.006345132414319037,11174785.420888271,1592056.1511800236,0.1424686,0.00836515154388861,0.024457971185308843,0.0020741818194457873,20.668906905129344,16.958107808784195,14.490718398190102
