event_idx,h,w_G,w_G_legacy,w_tilde_G,alpha_G_phi,r_Malm,D_tilde_phi,L_cat_no_bh,L_cat_with_bh,B_num,B_num_wbh,g_frac,L_comp,combined_no_bh,combined_with_bh,den_log_term,num_log_term_no_bh,num_log_term_with_bh
0,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.08386760232475897,0.0026677913746293016,11163858.118321473,1838081.272392939,0.1646457,0.008356971651524296,0.025364661117845584,0.002106077561322349,20.668906905129344,16.994508536849747,14.505978867918886
2,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.051844147463463004,0.0010520124807899612,8219484.4839886995,1832656.6717577802,0.2229649,0.006152890702731822,0.017071594328525924,0.002000225209431703,20.668906905129344,16.598567558037086,14.454411405083567
3,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.05279171177607905,0.00617876331902608,1014151.4549951858,198340.93449526525,0.1955733,0.0007591672045560866,0.009617145257708638,0.0005922994015445594,20.668906905129344,16.024699096027664,13.23740860005504
4,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.11565837700656738,0.005315881121259787,15363608.520921988,2534842.5938164303,0.1649901,0.011500794753361356,0.03494556632977086,0.0030058561773579867,20.668906905129344,17.314943229262642,14.86171407114308
5,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.001921648633137926,0.0006657934346570342,45198.73868776847,5850.171645697783,0.1294322,3.383459140155463e-05,0.00035881537474242547,4.7434098787858455e-05,20.668906905129344,12.736204326884346,10.712737700943762
6,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.007579524884863942,0.0037289088538048024,109068.83778110139,15189.33981510088,0.1392638,8.164607394154266e-05,0.0013421952276476818,0.00024710657222109947,20.668906905129344,14.055458129263517,12.363216057220333
7,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.03324841991636393,0.0014742509795312203,23325.87445995358,2804.1009020928373,0.1202142,1.746113839344956e-05,0.005407146056914436,9.431542404709278e-05,20.668906905129344,15.448873048742707,11.400041087025308
13,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.11531673562733702,0.04391357273817631,4860879.513864825,513273.0894152966,0.1055926,0.0036387270304140376,0.02380081033271935,0.0032631317139300547,20.668906905129344,16.93087125383828,14.943839008843204
14,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.005661455824474725,0.0017477154232227183,64408.460340241334,7300.883922809072,0.1133529,4.821448566229656e-05,0.000984527778445781,0.00011600914091494968,20.668906905129344,13.745558460636724,11.607065336157744
15,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.039118025179272334,0.00976199933328079,1150908.5354228953,137352.02505711134,0.1193423,0.0008615399714048498,0.007547937563150161,0.000749945253875498,20.668906905129344,15.78242598164661,13.473396556198503
