event_idx,h,w_G,w_G_legacy,w_tilde_G,alpha_G_phi,r_Malm,D_tilde_phi,L_cat_no_bh,L_cat_with_bh,B_num,B_num_wbh,g_frac,L_comp,combined_no_bh,combined_with_bh,den_log_term,num_log_term_no_bh,num_log_term_with_bh
0,0.6,0.0832024811136007,0.1625175,0.08320248,9.297923e+07,0.3840379,1.117505e+09,0.1237848569340482,0.006801332158773506,25229872.914010994,3292278.8779871245,0.1304913,0.01601414825787994,0.04939516040695745,0.0035119841651919275,20.83436477161224,17.826461944554357,15.18279065962058
1,0.6,0.0832024811136007,0.1625175,0.08320248,9.297923e+07,0.3840379,1.117505e+09,0.09520970622075753,0.04562552954391161,1898895.548073524,192137.72673890827,0.1011839,0.00120528529559855,0.02232657454111767,0.003968091745842757,20.83436477161224,17.03238714506324,15.30489480321758
2,0.6,0.0832024811136007,0.1625175,0.08320248,9.297923e+07,0.3840379,1.117505e+09,0.07794489602733831,0.00815600307800291,7437837.256982254,1074552.9083792337,0.1444712,0.004721015795729622,0.02354264673163539,0.0016401635908338881,20.83436477161224,17.085423023640367,14.421405479999928
3,0.6,0.0832024811136007,0.1625175,0.08320248,9.297923e+07,0.3840379,1.117505e+09,0.011201207885550537,0.004852799209534814,294934.17266828165,29265.524027714648,0.09922731,0.0001872034624796749,0.002690682960767844,0.00042995319498456984,20.83436477161224,14.916404542780835,13.082530567538013
5,0.6,0.0832024811136007,0.1625175,0.08320248,9.297923e+07,0.3840379,1.117505e+09,0.08780183506848707,0.003661975874307994,11853387.655364012,2202875.298123662,0.1858435,0.007523696529034385,0.029629425829850925,0.002275928907912421,20.83436477161224,17.315377476027518,14.748997772866991
7,0.6,0.0832024811136007,0.1625175,0.08320248,9.297923e+07,0.3840379,1.117505e+09,0.013242106808280543,0.009577877181776166,373368.45504809584,30389.747423402103,0.08139345,0.00023698802662756776,0.0032030341750613617,0.0008240974172751853,20.83436477161224,15.090708032904033,13.733142961417958
8,0.6,0.0832024811136007,0.1625175,0.08320248,9.297923e+07,0.3840379,1.117505e+09,0.02407576167745454,0.00035670702456866107,20494635.83501986,5506724.398317691,0.268691,0.013008552911537033,0.023555684629833724,0.004957372409375347,20.83436477161224,17.085976669519297,15.527485336822236
9,0.6,0.0832024811136007,0.1625175,0.08320248,9.297923e+07,0.3840379,1.117505e+09,0.053760497835347074,0.0017489977284900597,37638077.875512965,5457941.7711255215,0.1450112,0.02389000377823436,0.04532774679760464,0.005029561306047071,20.83436477161224,17.74052884969853,15.54194225744066
11,0.6,0.0832024811136007,0.1625175,0.08320248,9.297923e+07,0.3840379,1.117505e+09,0.03030949164140966,0.0007765074599508129,2959601.48045456,380232.2912712945,0.1284742,0.0018785467946578504,0.009215003779304464,0.0004048582940449067,20.83436477161224,16.147442493877087,13.022391328281138
12,0.6,0.0832024811136007,0.1625175,0.08320248,9.297923e+07,0.3840379,1.117505e+09,0.040205982970532364,0.005625849598998987,226250.62458414162,25158.139158318976,0.1111959,0.00014360797844194804,0.008913156140130529,0.0004905974111892188,20.83436477161224,16.114137895871682,13.214478068632545
13,0.6,0.0832024811136007,0.1625175,0.08320248,9.297923e+07,0.3840379,1.117505e+09,0.014017185742565014,0.001001429994501353,1971279.2314245338,387518.8252921676,0.1965824,0.001251229365177703,0.0048008471645111855,0.00043009276349733494,20.83436477161224,15.495401887577458,13.082855128132977
14,0.6,0.0832024811136007,0.1625175,0.08320248,9.297923e+07,0.3840379,1.117505e+09,0.12988262881397422,0.007720616959648289,15512230.481530538,2608660.852590597,0.168168,0.00984607253426477,0.04202041882782483,0.002976735205945554,20.83436477161224,17.664765155341996,15.017436624098943
15,0.6,0.0832024811136007,0.1625175,0.08320248,9.297923e+07,0.3840379,1.117505e+09,0.026957667041134965,0.01876900841517949,134260.88848482945,14725.290057025411,0.1096767,8.521936597773095e-05,0.005960568554785299,0.0015748049971266837,20.83436477161224,15.711775364255743,14.380740945894306
17,0.6,0.0832024811136007,0.1625175,0.08320248,9.297923e+07,0.3840379,1.117505e+09,0.058651930783925985,0.0007755311148579609,27212210.37100816,8028128.078279417,0.2950193,0.017272396606640823,0.03705789444697851,0.00724849823251364,20.83436477161224,17.53909089716684,15.907403799697217
21,0.6,0.0832024811136007,0.1625175,0.08320248,9.297923e+07,0.3840379,1.117505e+09,0.07720206242519081,0.021697496458387616,752455.654429831,105101.49988869253,0.139678,0.0004776059098112877,0.017399295397505767,0.0018993356388368955,20.83436477161224,16.78303920363445,14.568113653885813
22,0.6,0.0832024811136007,0.1625175,0.08320248,9.297923e+07,0.3840379,1.117505e+09,0.037630396736931734,0.016351768171149403,2582563.753099597,218584.30406649527,0.08463849,0.0016392297721244781,0.01046369823440205,0.0015561078934520083,20.83436477161224,16.27452144847365,14.368797256247166
23,0.6,0.0832024811136007,0.1625175,0.08320248,9.297923e+07,0.3840379,1.117505e+09,0.046285967410348135,0.016367365163584526,991497.0259901205,132819.08205340104,0.1339581,0.0006293325545304373,0.010915176185555731,0.0014806585747476034,20.83436477161224,16.31676362410098,14.319096464368151
24,0.6,0.0832024811136007,0.1625175,0.08320248,9.297923e+07,0.3840379,1.117505e+09,0.12775636296516008,0.0059504353255798986,14602139.604177367,2658029.304908,0.1820301,0.009268410875494223,0.04074536464038489,0.002873629072033278,20.83436477161224,17.633951574690624,14.982185208642756
25,0.6,0.0832024811136007,0.1625175,0.08320248,9.297923e+07,0.3840379,1.117505e+09,0.0554520061828156,0.001747071663712644,26059040.512195595,5223508.499379682,0.200449,0.016540445512456453,0.03533271095636518,0.004819618389559634,20.83436477161224,17.491418683476432,15.499304245267789
