event_idx,h,w_G,w_G_legacy,w_tilde_G,alpha_G_phi,r_Malm,D_tilde_phi,L_cat_no_bh,L_cat_with_bh,B_num,B_num_wbh,g_frac,L_comp,combined_no_bh,combined_with_bh,den_log_term,num_log_term_no_bh,num_log_term_with_bh
0,0.725,0.06259443942520057,0.1227371,0.06259444,5.965099e+07,0.3826937,9.529759e+08,9.69488884216439e-05,2.8817196039640357e-06,59074160.88616753,11327134.37706503,0.1917443,0.043935570976858886,0.062005005087399735,0.011886246930225159,20.675100120520536,17.89455995054135,16.242726853147197
1,0.725,0.06259443942520057,0.1227371,0.06259444,5.965099e+07,0.3826937,9.529759e+08,0.00556600965325567,0.00013241060961937347,54293958.41456368,9855836.102528973,0.1815273,0.04038036305135647,0.05788346048205303,0.010350455915418779,20.675100120520536,17.82577652869579,16.10437541007853
2,0.725,0.06259443942520057,0.1227371,0.06259444,5.965099e+07,0.3826937,9.529759e+08,0.0033965684791438058,0.00011552120942037328,54578404.537907474,15671140.807052528,0.2871308,0.04059191582931882,0.05782710265748281,0.016451656941272336,20.675100120520536,17.82480241142425,16.56777103959048
3,0.725,0.06259443942520057,0.1227371,0.06259444,5.965099e+07,0.3826937,9.529759e+08,0.00137828684095545,4.843254730762719e-05,5005479.438353169,505260.8188252466,0.1009415,0.0037227544807744914,0.005477908906031398,0.0005332242869014102,20.675100120520536,15.468068283185051,13.138531699150953
4,0.725,0.06259443942520057,0.1227371,0.06259444,5.965099e+07,0.3826937,9.529759e+08,0.0014643119739906364,3.924301208720242e-05,53622172.02851113,11570879.802322758,0.2157854,0.039880731435723814,0.05650764007216345,0.012144295874758862,20.675100120520536,17.80172069306522,16.26420442575842
5,0.725,0.06259443942520057,0.1227371,0.06259444,5.965099e+07,0.3826937,9.529759e+08,0.0,0.0,29638819.86280147,17666428.297075134,0.5960571,0.022043452741744556,0.03110133363332123,0.018538169978423245,20.675100120520536,17.20459554190454,16.687176690138873
7,0.725,0.06259443942520057,0.1227371,0.06259444,5.965099e+07,0.3826937,9.529759e+08,0.06102492600211932,0.010087892718973522,12443342.978257343,1099475.933069724,0.08835857,0.009254560207196063,0.023038759928967374,0.0017851750509534706,20.675100120520536,16.904522853390148,14.34686131972272
8,0.725,0.06259443942520057,0.1227371,0.06259444,5.965099e+07,0.3826937,9.529759e+08,1.1540105707142145e-06,1.4313303880259756e-08,52726538.070838965,21947260.459866233,0.4162469,0.03921461635721401,0.055328493303149824,0.023030238707675184,20.675100120520536,17.780632866976067,16.904152920392185
9,0.725,0.06259443942520057,0.1227371,0.06259444,5.965099e+07,0.3826937,9.529759e+08,0.000649658905566901,2.1474875774765287e-05,44201537.41629766,7258631.94238711,0.1642167,0.03287426778997654,0.04648890171682268,0.007618149964810572,20.675100120520536,17.606558452888333,15.797878394989208
10,0.725,0.06259443942520057,0.1227371,0.06259444,5.965099e+07,0.3826937,9.529759e+08,4.5889202255829576e-09,4.4085740341775816e-10,37056830.77660391,16825797.079971608,0.4540539,0.027560493358512676,0.03888538359347315,0.017656058232785047,20.675100120520536,17.427963278455298,16.638423808674133
11,0.725,0.06259443942520057,0.1227371,0.06259444,5.965099e+07,0.3826937,9.529759e+08,0.0,0.0,38459106.84495284,8004692.078005532,0.2081352,0.02860341633542662,0.04035685357113837,0.008399679882750973,20.675100120520536,17.465106074895107,15.89553843746518
12,0.725,0.06259443942520057,0.1227371,0.06259444,5.965099e+07,0.3826937,9.529759e+08,0.0,0.0,29922510.620388776,5929787.363549048,0.1981715,0.022254443727117563,0.0313990229792957,0.006222389960939537,20.675100120520536,17.214121618659462,15.595498912582109
13,0.725,0.06259443942520057,0.1227371,0.06259444,5.965099e+07,0.3826937,9.529759e+08,0.0015733763512918977,2.1074769115311415e-05,51775329.26801914,18025127.432709068,0.3481412,0.038507168274275784,0.054587504587026076,0.018915888119304627,20.675100120520536,17.76714984438078,16.7073470516961
14,0.725,0.06259443942520057,0.1227371,0.06259444,5.965099e+07,0.3826937,9.529759e+08,0.0004275986627886701,1.1254836349571037e-05,52186693.91856954,14974596.76168242,0.2869428,0.0388131149103432,0.054831761261360454,0.0157142157590218,20.675100120520536,17.77161445265914,16.52191060656698
15,0.725,0.06259443942520057,0.1227371,0.06259444,5.965099e+07,0.3826937,9.529759e+08,0.0,0.0,23439390.053253062,15085707.432410737,0.6436049,0.017432714572508088,0.024595995845391586,0.015830104643907793,20.675100120520536,16.96992850071562,16.529258325890062
16,0.725,0.06259443942520057,0.1227371,0.06259444,5.965099e+07,0.3826937,9.529759e+08,5.556542141444009e-08,1.631754784646715e-09,39528564.51516844,15525413.137475796,0.3927644,0.029398810339702795,0.041479092220737986,0.016291507524463757,20.675100120520536,17.4925343399143,16.557988802808747
17,0.725,0.06259443942520057,0.1227371,0.06259444,5.965099e+07,0.3826937,9.529759e+08,0.0016300746093451319,2.1594496418342614e-05,52026330.1106749,18801957.706391826,0.3613931,0.03869384659813727,0.05486016467361782,0.019731083253299996,20.675100120520536,17.772132328749837,16.74954006393297
18,0.725,0.06259443942520057,0.1227371,0.06259444,5.965099e+07,0.3826937,9.529759e+08,2.8236145326856193e-14,1.9227156229140855e-15,24071965.258498825,9755498.776362121,0.4052639,0.01790318342744165,0.02525978517970796,0.010236879322712028,20.675100120520536,16.99655845405831,16.09334166106153
20,0.725,0.06259443942520057,0.1227371,0.06259444,5.965099e+07,0.3826937,9.529759e+08,0.0020003387657527827,6.382647975622552e-05,53182642.80780842,9895295.542390494,0.1860625,0.03955383779926915,0.056134096513918,0.010387569477811326,20.675100120520536,17.79508825043974,16.107954690295557
21,0.725,0.06259443942520057,0.1227371,0.06259444,5.965099e+07,0.3826937,9.529759e+08,0.006357132106177274,0.00014154361596734147,27180173.221284386,7895326.434023696,0.2904811,0.020214869103738396,0.0295611563591481,0.0082937774852676,20.675100120520536,17.153806055904287,15.882850374604775
22,0.725,0.06259443942520057,0.1227371,0.06259444,5.965099e+07,0.3826937,9.529759e+08,6.313461946518692e-05,1.2647729840249623e-06,56303929.34461254,10677413.642967597,0.1896389,0.04187525047986775,0.0590925470043294,0.011204364817053801,20.675100120520536,17.846449649780364,16.18364825972834
23,0.725,0.06259443942520057,0.1227371,0.06259444,5.965099e+07,0.3826937,9.529759e+08,6.394287756689129e-90,2.1221290392462734e-91,11178976.44300071,5503252.7464010725,0.4922859,0.0083142054934393,0.01173059783224246,0.00577480819164212,20.675100120520536,16.22954546899563,15.520849883826209
24,0.725,0.06259443942520057,0.1227371,0.06259444,5.965099e+07,0.3826937,9.529759e+08,1.3310107479971655e-36,5.08195993369804e-38,14666210.611244533,8038458.88873843,0.5480938,0.010907786545010014,0.015389907947359073,0.008435112901042471,20.675100120520536,16.501056808043103,15.899747942276923
25,0.725,0.06259443942520057,0.1227371,0.06259444,5.965099e+07,0.3826937,9.529759e+08,2.2079619430970597e-05,7.223638537275629e-07,43272483.53645057,16911279.580216933,0.3908091,0.032183297117401054,0.04541135549878772,0.017745804015581772,20.675100120520536,17.5831070364293,16.64349393602613
26,0.725,0.06259443942520057,0.1227371,0.06259444,5.965099e+07,0.3826937,9.529759e+08,9.055580080739915e-06,9.151425278515937e-08,32119943.818902086,12978981.821633764,0.4040786,0.023888753564310597,0.033706368651946934,0.01361942936674156,20.675100120520536,17.285031641812036,16.378842244667062
29,0.725,0.06259443942520057,0.1227371,0.06259444,5.965099e+07,0.3826937,9.529759e+08,0.0,0.0,58546319.61798688,25139685.384005822,0.4293982,0.04354299650513081,0.06143526050871449,0.026380191457825174,20.675100120520536,17.88532878724472,17.039958246489828
30,0.725,0.06259443942520057,0.1227371,0.06259444,5.965099e+07,0.3826937,9.529759e+08,0.002373794931784167,2.8589969333051228e-05,42651254.071089424,13163133.027939716,0.3086224,0.03172126649591013,0.04514412482717858,0.01381445127342836,20.675100120520536,17.577204987290433,16.39306007950339
31,0.725,0.06259443942520057,0.1227371,0.06259444,5.965099e+07,0.3826937,9.529759e+08,0.0013603492489472414,3.562398252871278e-05,51990696.60716812,10060345.483556682,0.1935028,0.0386673446842888,0.05477865582417119,0.010558998411996284,20.675100120520536,17.770645467360907,16.124323267969384
32,0.725,0.06259443942520057,0.1227371,0.06259444,5.965099e+07,0.3826937,9.529759e+08,0.0,0.0,9670791.740212502,4534724.997067186,0.4689094,0.007192514468775421,0.010147992457291009,0.004758488891325831,20.675100120520536,16.084620740004663,15.327274999575199
33,0.725,0.06259443942520057,0.1227371,0.06259444,5.965099e+07,0.3826937,9.529759e+08,0.0005116976114302828,1.0749462365572807e-05,33633212.79333528,12024796.064739889,0.3575274,0.02501422594404365,0.03537652270291709,0.01261882688609419,20.675100120520536,17.33339324118084,16.302534737602844
34,0.725,0.06259443942520057,0.1227371,0.06259444,5.965099e+07,0.3826937,9.529759e+08,0.0005450779444917743,8.066791959994485e-06,29971489.357692305,10226419.207940793,0.3412049,0.022290870969703416,0.031539573008483805,0.01073154204011409,20.675100120520536,17.218587884886652,16.140532100820252
35,0.725,0.06259443942520057,0.1227371,0.06259444,5.965099e+07,0.3826937,9.529759e+08,0.0,0.0,22283340.335172977,4447945.438776105,0.1996086,0.01657291895832479,0.02338290139206482,0.00466742723612307,20.675100120520536,16.91934988706275,15.307952848375114
36,0.725,0.06259443942520057,0.1227371,0.06259444,5.965099e+07,0.3826937,9.529759e+08,9.662010664598384e-08,1.7864270296687925e-09,45251842.40356637,18771239.831220444,0.4148171,0.03365541725741313,0.047484789307614524,0.019697498035298567,20.675100120520536,17.627754276193137,16.747836465932405
37,0.725,0.06259443942520057,0.1227371,0.06259444,5.965099e+07,0.3826937,9.529759e+08,0.0007496292042800206,1.5749472155837588e-05,54320253.83902825,13582950.02971406,0.2500531,0.04039991990109583,0.05712327291065354,0.014254180206025547,20.675100120520536,17.81255645678419,16.424395053026274
38,0.725,0.06259443942520057,0.1227371,0.06259444,5.965099e+07,0.3826937,9.529759e+08,0.0,0.0,46275662.288887426,19999430.609922767,0.4321803,0.034416868805167165,0.04855911330517977,0.020986293204484984,20.675100120520536,17.65012672834492,16.81121436160914
39,0.725,0.06259443942520057,0.1227371,0.06259444,5.965099e+07,0.3826937,9.529759e+08,0.0,0.0,14684379.13277328,7572439.7875594115,0.5156799,0.010921299125725448,0.015408972986125983,0.007946098304227846,20.675100120520536,16.502294842713468,15.84002587039063
40,0.725,0.06259443942520057,0.1227371,0.06259444,5.965099e+07,0.3826937,9.529759e+08,0.0016601719938475088,6.008190220320578e-05,56357100.60360578,16092287.385980094,0.2855414,0.04191479585111607,0.05940955783233519,0.016890114609753877,20.675100120520536,17.851799961231244,16.594073357992507
42,0.725,0.06259443942520057,0.1227371,0.06259444,5.965099e+07,0.3826937,9.529759e+08,0.0,0.0,19667523.304288395,4224791.050215848,0.2148105,0.014627442067940106,0.02063800808734282,0.004433261398128185,20.675100120520536,16.794479270098442,15.25648036198023
43,0.725,0.06259443942520057,0.1227371,0.06259444,5.965099e+07,0.3826937,9.529759e+08,0.0006840761782583313,1.2767532549543726e-05,25694247.120327972,6926820.4236135855,0.2695864,0.01910973259912112,0.02707400718003889,0.007269420329819253,20.675100120520536,17.06591896450248,15.751021395354549
44,0.725,0.06259443942520057,0.1227371,0.06259444,5.965099e+07,0.3826937,9.529759e+08,0.0,0.0,31857478.98019576,14939160.198024387,0.4689373,0.02369354905565694,0.03342947145217188,0.015676326104452153,20.675100120520536,17.276782731261267,16.519496524444058
45,0.725,0.06259443942520057,0.1227371,0.06259444,5.965099e+07,0.3826937,9.529759e+08,0.002182732975816991,3.064722256671776e-05,30513968.7254327,10475949.200052315,0.3433165,0.022694332320779848,0.03237668016262276,0.010994798382936564,20.675100120520536,17.244783257126493,16.164767128217974
46,0.725,0.06259443942520057,0.1227371,0.06259444,5.965099e+07,0.3826937,9.529759e+08,0.0,0.0,45540878.849116266,15792842.173542716,0.3467839,0.033870384022541236,0.04778807231858355,0.01657213261969978,20.675100120520536,17.634120916813224,16.575067368358496
47,0.725,0.06259443942520057,0.1227371,0.06259444,5.965099e+07,0.3826937,9.529759e+08,0.009144375574811632,0.00020124311408956143,27259923.59058912,6587713.531249552,0.2416629,0.020274182312059217,0.030100731237862364,0.006925377889063189,20.675100120520536,17.171894306614835,15.702537460940766
48,0.725,0.06259443942520057,0.1227371,0.06259444,5.965099e+07,0.3826937,9.529759e+08,0.009690835147554273,0.0013371295399991468,5965656.562918641,605066.3269963992,0.1014249,0.004436872626066346,0.007845088957121936,0.0007186199172645163,20.675100120520536,15.827232566999058,13.436922153612663
49,0.725,0.06259443942520057,0.1227371,0.06259444,5.965099e+07,0.3826937,9.529759e+08,0.001361211597889305,3.6761848172380226e-05,9912050.325745564,2367721.349811149,0.238873,0.007371947126801485,0.010623799375994518,0.0024868565450225696,20.675100120520536,16.130441550057512,14.678364322758954
50,0.725,0.06259443942520057,0.1227371,0.06259444,5.965099e+07,0.3826937,9.529759e+08,0.0,0.0,22276549.266658228,14424522.46894748,0.6475205,0.016567868197243082,0.023375775221435163,0.015136293816175924,20.675100120520536,16.919045080716593,16.484440265404753
