event_idx,h,w_G,w_G_legacy,w_tilde_G,alpha_G_phi,r_Malm,D_tilde_phi,L_cat_no_bh,L_cat_with_bh,B_num,B_num_wbh,g_frac,L_comp,combined_no_bh,combined_with_bh,den_log_term,num_log_term_no_bh,num_log_term_with_bh
0,0.725,0.06259443942520057,0.1227371,0.06259444,5.965099e+07,0.3826937,9.529759e+08,0.0,0.0,43363290.236994915,16238665.577099733,0.3744796,0.032250833315581304,0.04550303160997196,0.017039954971593486,20.675100120520536,17.5851237940663,16.60290572042396
1,0.725,0.06259443942520057,0.1227371,0.06259444,5.965099e+07,0.3826937,9.529759e+08,0.0,0.0,41038820.2030757,22037005.9073537,0.5369795,0.03052204163023461,0.043063861684170944,0.023124411706562997,20.675100120520536,17.530029010925162,16.908233684897098
2,0.725,0.06259443942520057,0.1227371,0.06259444,5.965099e+07,0.3826937,9.529759e+08,0.0,0.0,14634534.282603847,2682274.4935506163,0.1832839,0.010884227723955224,0.015356668565025596,0.0028146300799501652,20.675100120520536,16.49889465543601,14.802175684175303
3,0.725,0.06259443942520057,0.1227371,0.06259444,5.965099e+07,0.3826937,9.529759e+08,0.0,0.0,29238985.35884861,5342879.605910382,0.1827314,0.021746081489002287,0.030681769481876772,0.005606521513180793,20.675100120520536,17.191013491794003,15.491275317635386
4,0.725,0.06259443942520057,0.1227371,0.06259444,5.965099e+07,0.3826937,9.529759e+08,0.0,0.0,18272095.236351248,12131558.851262722,0.6639391,0.013589612194400432,0.019173723270905735,0.012730184976053561,20.675100120520536,16.72088560357136,16.311320784721197
5,0.725,0.06259443942520057,0.1227371,0.06259444,5.965099e+07,0.3826937,9.529759e+08,0.0,0.0,54180636.07659671,19018445.04733079,0.3510192,0.04029608116654721,0.05685415434501445,0.019956901365913965,20.675100120520536,17.807834134615003,16.760919858181722
6,0.725,0.06259443942520057,0.1227371,0.06259444,5.965099e+07,0.3826937,9.529759e+08,0.004521836704618443,6.926941215032674e-05,46333857.85658563,13305547.291436419,0.2871668,0.03446015093489677,0.04935978464648159,0.0139664392093888,20.675100120520536,17.666480858210324,16.404002093941816
7,0.725,0.06259443942520057,0.1227371,0.06259444,5.965099e+07,0.3826937,9.529759e+08,0.009747621879154582,0.0013153988934584645,1457230.3463742419,220419.56767332047,0.1512592,0.0010837944433291088,0.0031234847425666732,0.0003136327250007874,20.675100120520536,14.906294124754623,12.607812198269235
8,0.725,0.06259443942520057,0.1227371,0.06259444,5.965099e+07,0.3826937,9.529759e+08,0.0,0.0,29435338.068586893,12821335.626195056,0.4355763,0.02189211603753914,0.030887811124683254,0.013453998464883177,20.675100120520536,17.197706485637145,16.36662118704066
10,0.725,0.06259443942520057,0.1227371,0.06259444,5.965099e+07,0.3826937,9.529759e+08,0.0,0.0,37993084.299554296,9764541.709815364,0.2570084,0.028256818663736825,0.039867835360150816,0.010246368475507299,20.675100120520536,17.452914709011093,16.09426818927303
12,0.725,0.06259443942520057,0.1227371,0.06259444,5.965099e+07,0.3826937,9.529759e+08,0.0,0.0,51766914.44943651,21398855.395971846,0.4133693,0.03850090987206493,0.054321328747646794,0.022454771955228933,20.675100120520536,17.76226178597064,16.878847992392103
13,0.725,0.06259443942520057,0.1227371,0.06259444,5.965099e+07,0.3826937,9.529759e+08,0.002309698562859041,6.53582209598921e-05,43066166.66795421,7420675.257234268,0.1723087,0.032029851866828433,0.045569027313313436,0.007790936084996556,20.675100120520536,17.586573101695304,15.820305859156454
14,0.725,0.06259443942520057,0.1227371,0.06259444,5.965099e+07,0.3826937,9.529759e+08,0.0,0.0,59126010.52014412,18941269.39990227,0.3203543,0.04397413340820839,0.062043555988617216,0.019875917522085066,20.675100120520536,17.895181495880113,16.756853665646453
15,0.725,0.06259443942520057,0.1227371,0.06259444,5.965099e+07,0.3826937,9.529759e+08,0.004340250706290194,0.00010764451586784623,41357459.61073395,8904700.666334575,0.2153106,0.030759025179407148,0.04410812763646946,0.009350836924083334,20.675100120520536,17.553988907156715,16.00281069143031
16,0.725,0.06259443942520057,0.1227371,0.06259444,5.965099e+07,0.3826937,9.529759e+08,0.002238165332516921,4.740539812862423e-05,43990692.47842986,9849354.867617195,0.2238963,0.03271745485190278,0.04652747324622226,0.010338334013425534,20.675100120520536,17.607387802164215,16.10320357707891
17,0.725,0.06259443942520057,0.1227371,0.06259444,5.965099e+07,0.3826937,9.529759e+08,2.1274174970893302e-06,1.2775404914098463e-08,55303205.279003054,27035128.591567233,0.4888528,0.04113097612110777,0.05803246416850573,0.028369165227884807,20.675100120520536,17.828347422539267,17.11264766545973
19,0.725,0.06259443942520057,0.1227371,0.06259444,5.965099e+07,0.3826937,9.529759e+08,0.00018503658321727506,1.1134792884231889e-05,55602790.62763675,11741982.798959501,0.2111761,0.041353788483586965,0.058376749546669,0.012322082450899228,20.675100120520536,17.834262527899227,16.278737815465252
20,0.725,0.06259443942520057,0.1227371,0.06259444,5.965099e+07,0.3826937,9.529759e+08,0.0,0.0,57345140.76845192,16007114.787921064,0.2791364,0.042649636738221246,0.060174810047946906,0.01679697841649984,20.675100120520536,17.864598668541927,16.58854385561083
22,0.725,0.06259443942520057,0.1227371,0.06259444,5.965099e+07,0.3826937,9.529759e+08,0.0,0.0,13379208.497525902,8086446.041714701,0.6044039,0.009950596940173959,0.014039399313383747,0.008485467957746377,20.675100120520536,16.409212455273778,15.90569988988194
23,0.725,0.06259443942520057,0.1227371,0.06259444,5.965099e+07,0.3826937,9.529759e+08,2.0956046608858704e-05,6.437011074562883e-07,51057016.05661123,22153343.759297907,0.4338942,0.037972932990862435,0.05357982837810293,0.02324653048777105,20.675100120520536,17.748517502553483,16.91350073610398
24,0.725,0.06259443942520057,0.1227371,0.06259444,5.965099e+07,0.3826937,9.529759e+08,1.3448922165518717e-07,2.7681885200017335e-09,47882990.52741483,18303825.79675784,0.3822615,0.03561229643118133,0.05024577640492411,0.019207019734319573,20.675100120520536,17.684271333301744,16.722620664915137
25,0.725,0.06259443942520057,0.1227371,0.06259444,5.965099e+07,0.3826937,9.529759e+08,2.3871608872254542e-06,2.643570157689488e-08,59939442.62555336,18264573.09063836,0.3047171,0.044579112022647444,0.06289751697329883,0.019165831603141805,20.675100120520536,17.908851528683392,16.720473931192725
26,0.725,0.06259443942520057,0.1227371,0.06259444,5.965099e+07,0.3826937,9.529759e+08,0.004114072303530038,7.743523149214226e-05,35018519.0076104,9081385.166104533,0.2593309,0.026044527832194884,0.03741940059354695,0.009534348905034386,20.675100120520536,17.389534143911497,16.022245793522448
