event_idx,h,w_G,w_G_legacy,w_tilde_G,alpha_G_phi,r_Malm,D_tilde_phi,L_cat_no_bh,L_cat_with_bh,B_num,B_num_wbh,g_frac,L_comp,combined_no_bh,combined_with_bh,den_log_term,num_log_term_no_bh,num_log_term_with_bh
0,0.725,0.06259443942520057,0.1227371,0.06259444,5.965099e+07,0.3826937,9.529759e+08,0.0,0.0,43363290.236994915,16238665.577099733,0.3744796,0.032250833315581304,0.04550303160997196,0.017039954971593486,20.675100120520536,17.5851237940663,16.60290572042396
1,0.725,0.06259443942520057,0.1227371,0.06259444,5.965099e+07,0.3826937,9.529759e+08,0.0,0.0,41038820.2030757,22037005.9073537,0.5369795,0.03052204163023461,0.043063861684170944,0.023124411706562997,20.675100120520536,17.530029010925162,16.908233684897098
2,0.725,0.06259443942520057,0.1227371,0.06259444,5.965099e+07,0.3826937,9.529759e+08,0.0,0.0,14634534.282603847,2682274.4935506163,0.1832839,0.010884227723955224,0.015356668565025596,0.0028146300799501652,20.675100120520536,16.49889465543601,14.802175684175303
3,0.725,0.06259443942520057,0.1227371,0.06259444,5.965099e+07,0.3826937,9.529759e+08,0.0,0.0,29238985.35884861,5342879.605910382,0.1827314,0.021746081489002287,0.030681769481876772,0.005606521513180793,20.675100120520536,17.191013491794003,15.491275317635386
4,0.725,0.06259443942520057,0.1227371,0.06259444,5.965099e+07,0.3826937,9.529759e+08,0.0,0.0,18272095.236351248,12131558.851262722,0.6639391,0.013589612194400432,0.019173723270905735,0.012730184976053561,20.675100120520536,16.72088560357136,16.311320784721197
5,0.725,0.06259443942520057,0.1227371,0.06259444,5.965099e+07,0.3826937,9.529759e+08,0.0,0.0,54180636.07659671,19018445.04733079,0.3510192,0.04029608116654721,0.05685415434501445,0.019956901365913965,20.675100120520536,17.807834134615003,16.760919858181722
6,0.725,0.06259443942520057,0.1227371,0.06259444,5.965099e+07,0.3826937,9.529759e+08,0.008739349291209963,0.00018719347755311708,46333857.85658563,13305547.291436419,0.2871668,0.03446015093489677,0.050049612690926316,0.013973820600157429,20.675100120520536,17.680359608826656,16.404530463469563
7,0.725,0.06259443942520057,0.1227371,0.06259444,5.965099e+07,0.3826937,9.529759e+08,0.01194809546570434,0.003094843449454832,1457230.3463742419,220419.56767332047,0.1512592,0.0010837944433291088,0.0034834002994017176,0.00042501605947160484,20.675100120520536,15.015353755804943,12.91171651775878
8,0.725,0.06259443942520057,0.1227371,0.06259444,5.965099e+07,0.3826937,9.529759e+08,0.0,0.0,29435338.068586893,12821335.626195056,0.4355763,0.02189211603753914,0.030887811124683254,0.013453998464883177,20.675100120520536,17.197706485637145,16.36662118704066
10,0.725,0.06259443942520057,0.1227371,0.06259444,5.965099e+07,0.3826937,9.529759e+08,0.0,0.0,37993084.299554296,9764541.709815364,0.2570084,0.028256818663736825,0.039867835360150816,0.010246368475507299,20.675100120520536,17.452914709011093,16.09426818927303
12,0.725,0.06259443942520057,0.1227371,0.06259444,5.965099e+07,0.3826937,9.529759e+08,0.0,0.0,51766914.44943651,21398855.395971846,0.4133693,0.03850090987206493,0.054321328747646794,0.022454771955228933,20.675100120520536,17.76226178597064,16.878847992392103
13,0.725,0.06259443942520057,0.1227371,0.06259444,5.965099e+07,0.3826937,9.529759e+08,0.0037375005567655485,0.00014599244279970785,43066166.66795421,7420675.257234268,0.1723087,0.032029851866828433,0.045802562563556,0.007795983338911107,20.675100120520536,17.591684882262676,15.820953486048426
14,0.725,0.06259443942520057,0.1227371,0.06259444,5.965099e+07,0.3826937,9.529759e+08,0.0,0.0,59126010.52014412,18941269.39990227,0.3203543,0.04397413340820839,0.062043555988617216,0.019875917522085066,20.675100120520536,17.895181495880113,16.756853665646453
15,0.725,0.06259443942520057,0.1227371,0.06259444,5.965099e+07,0.3826937,9.529759e+08,0.009757050804368877,0.0003409013121123589,41357459.61073395,8904700.666334575,0.2153106,0.030759025179407148,0.044994114469249835,0.009365437502486378,20.675100120520536,17.57387653318279,16.00437089310635
16,0.725,0.06259443942520057,0.1227371,0.06259444,5.965099e+07,0.3826937,9.529759e+08,0.00546209420626389,0.00019634291635833452,43990692.47842986,9849354.867617195,0.2238963,0.03271745485190278,0.047054787985596425,0.010347656673888504,20.675100120520536,17.618657466166837,16.10410492729559
17,0.725,0.06259443942520057,0.1227371,0.06259444,5.965099e+07,0.3826937,9.529759e+08,5.176678491236837e-06,7.131655355309722e-08,55303205.279003054,27035128.591567233,0.4888528,0.04113097612110777,0.058032962914082754,0.02836916889223519,20.675100120520536,17.828356016753574,17.112647794626383
19,0.725,0.06259443942520057,0.1227371,0.06259444,5.965099e+07,0.3826937,9.529759e+08,0.00021879829463450652,1.3641746878169295e-05,55602790.62763675,11741982.798959501,0.2111761,0.041353788483586965,0.05838227170573454,0.012322239372279142,20.675100120520536,17.83435711860426,16.27875055035656
20,0.725,0.06259443942520057,0.1227371,0.06259444,5.965099e+07,0.3826937,9.529759e+08,0.0,0.0,57345140.76845192,16007114.787921064,0.2791364,0.042649636738221246,0.060174810047946906,0.01679697841649984,20.675100120520536,17.864598668541927,16.58854385561083
22,0.725,0.06259443942520057,0.1227371,0.06259444,5.965099e+07,0.3826937,9.529759e+08,0.0,0.0,13379208.497525902,8086446.041714701,0.6044039,0.009950596940173959,0.014039399313383747,0.008485467957746377,20.675100120520536,16.409212455273778,15.90569988988194
23,0.725,0.06259443942520057,0.1227371,0.06259444,5.965099e+07,0.3826937,9.529759e+08,4.514247491186252e-05,1.5993724606550613e-06,51057016.05661123,22153343.759297907,0.4338942,0.037972932990862435,0.05358378437733133,0.02324659030748368,20.675100120520536,17.74859133356997,16.913503309375535
24,0.725,0.06259443942520057,0.1227371,0.06259444,5.965099e+07,0.3826937,9.529759e+08,7.184060200341595e-06,1.5123764765196985e-07,47882990.52741483,18303825.79675784,0.3822615,0.03561229643118133,0.050246929452286156,0.019207029027682142,20.675100120520536,17.68429428118343,16.72262114876742
25,0.725,0.06259443942520057,0.1227371,0.06259444,5.965099e+07,0.3826937,9.529759e+08,4.765254271620853e-06,9.316554534440021e-08,59939442.62555336,18264573.09063836,0.3047171,0.044579112022647444,0.06289790594084195,0.019165835780058968,20.675100120520536,17.9088577128121,16.72047414912831
26,0.725,0.06259443942520057,0.1227371,0.06259444,5.965099e+07,0.3826937,9.529759e+08,0.005973961090356122,0.0001528897897291741,35018519.0076104,9081385.166104533,0.2593309,0.026044527832194884,0.03772360915685507,0.00953907194080931,20.675100120520536,17.397630977569797,16.022741041428908
