M_bin,p0_bin,n_kept,n_timeout,denom,rate,rate_garwood_lo95,rate_garwood_hi95,se_approx
0,0,3,18,21,0.8571428571428571,0.507997180019025,1.3546552508346659,0.21598816886831615
0,1,3,21,24,0.875,0.5416387910031745,1.3375304472893086,0.20303731504408604
0,2,5,21,26,0.8076923076923077,0.49997426861831484,1.2346434898055156,0.18741906004069483
0,3,1,17,18,0.9444444444444444,0.5501736927559607,1.5121470453281451,0.24540587290689636
0,4,3,26,29,0.896551724137931,0.5856573522619428,1.313656002866379,0.18571735261577157
1,0,8,65,73,0.8904109589041096,0.6872003798525242,1.1349018604913914,0.11421165915263422
1,1,13,87,100,0.87,0.696834335358197,1.0731417858252383,0.09599856182742164
1,2,15,80,95,0.8421052631578947,0.6677371009577932,1.0480728943940891,0.09702621921532639
1,3,35,65,100,0.65,0.5016562772923426,0.8284783581587157,0.083374511181423
1,4,39,104,143,0.7272727272727273,0.594234519651262,0.8812126363287087,0.07321004790839188
2,0,107,73,180,0.40555555555555556,0.31789081623610643,0.5099252232387863,0.04898926893623553
2,1,147,60,207,0.2898550724637681,0.22118995628022833,0.37310093433161023,0.038753512322517635
2,2,184,81,265,0.30566037735849055,0.2427384603552655,0.37990794030237374,0.03499285699816635
2,3,263,84,347,0.2420749279538905,0.19308844305413833,0.299705232766247,0.027198660208072357
2,4,316,80,396,0.20202020202020202,0.16018945603785442,0.2514316287056527,0.023276491983474774
3,0,437,49,486,0.10082304526748971,0.07458944392763198,0.13329341274263024,0.01497577731402165
3,1,438,48,486,0.09876543209876543,0.07282183297013013,0.13094863411960342,0.014828537960256741
3,2,452,47,499,0.09418837675350701,0.06920607648710572,0.12525057382895186,0.014297328252418445
3,3,376,58,434,0.1336405529953917,0.10147887483928515,0.17276140494169256,0.018184652907504272
3,4,290,43,333,0.12912912912912913,0.0934513910269285,0.17393608952067155,0.020532187962060286
4,0,112,33,145,0.22758620689655173,0.15665987291537822,0.31961565013220206,0.04157111488191207
4,1,65,22,87,0.25287356321839083,0.15847451577275415,0.38285361364511766,0.05724061714204024
4,2,15,5,20,0.25,0.08117431950592105,0.5834166039661335,0.1281253850734535
4,3,0,5,5,1.0,0.3246972780236842,2.333666415864534,0.512501540293814
4,4,0,4,4,1.0,0.27246634340658127,2.5603971688509235,0.5836665432233302
