event_idx,h,w_G,w_G_legacy,w_tilde_G,alpha_G_phi,r_Malm,D_tilde_phi,L_cat_no_bh,L_cat_with_bh,B_num,B_num_wbh,g_frac,L_comp,combined_no_bh,combined_with_bh
0,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,5.032957420275443e-07,4.3875823974098115e-09,13475737.616107594,5470481.903647007,0.4059505,0.010087584063467391,0.014228621193155998,0.005776082535226622
1,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.05325497987288931,0.002342152158564534,9711619.843077553,1840274.0502497943,0.189492,0.007269864132882997,0.018875482322985245,0.0020882140019012874
3,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.019619605485437057,0.00033556607193399937,31732701.45374317,8654452.072760638,0.2727298,0.02375426878992687,0.03668157863751651,0.009158714174094904
4,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.0,0.0,41128472.1810865,17551335.09898175,0.4267442,0.030787696551228073,0.043426053292517704,0.01853181440845545
5,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.0016111647711014134,2.8161388212280187e-05,57495797.72947864,19687103.659099173,0.3424094,0.04303984757012225,0.060968543305441526,0.020788639584448473
6,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.00021210955458819783,4.449840930159064e-06,39957458.04127358,12341584.116512168,0.3088681,0.029911106051220705,0.04222396015609501,0.013031304155165962
7,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.0,0.0,55988446.03419659,24363322.984100062,0.4351491,0.04191148358942315,0.05911615754996039,0.025724343895684218
9,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.0,0.0,10244508.392159315,7890040.886932041,0.7701727,0.007668770537004135,0.010816802662515114,0.008330806321408145
10,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.011395253334570555,0.0002737863081863329,18330080.562243953,4460298.4231041055,0.2433322,0.013721417990563017,0.021198817046306245,0.004726432053257282
11,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.0,0.0,47885561.79126517,24058570.02011121,0.502418,0.035845876771773796,0.05056061769408271,0.025402566359262174
12,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.006072211335741409,0.00015335087147248897,44669333.50743558,10029186.06903105,0.2245206,0.033438292556001295,0.04814773717138542,0.010598954346180703
13,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.007528987055553018,0.00027786366690436007,28332638.395383395,3709602.185892665,0.1309303,0.021209070679116426,0.031134251184112578,0.003934051944956656
14,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,6.6524172249474074e-12,1.5319326654874998e-13,33461917.130878944,19740906.60242448,0.5899515,0.025048714333755388,0.03533121751378575,0.020843703077162146
15,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,1.3292824947340626e-06,1.5374912604623274e-08,48967784.46269128,14680890.60416276,0.2998071,0.03665600030522342,0.05170351232504552,0.01550101774107958
16,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.0,0.0,33777988.7506973,7009770.627939367,0.2075248,0.025285317266064106,0.035664946004884505,0.007401361069697256
17,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,2.4278180968951754e-07,9.601223390512448e-09,42945223.64725595,12830263.184692305,0.2987588,0.032147669092954176,0.04534433418883109,0.013547007407228454
18,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,9.343268914803396e-08,8.307178620739313e-10,52661624.808208965,25866635.570405442,0.4911857,0.0394211123951099,0.0556035035149508,0.027311636861927693
19,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,8.991263314420016e-05,7.22593500365102e-07,32274665.144624185,15584122.534111766,0.4828593,0.024159968607395447,0.034092197222755395,0.01645475120754814
20,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.0011413662810426301,2.624940265244098e-05,51744657.87411716,8791431.61037632,0.1699003,0.03873469497629532,0.0548200698557349,0.009284178493562367
21,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.01379184858916912,0.0002785982455290481,29501153.73470166,7063787.57437664,0.2394411,0.022083790642551636,0.033381925446730805,0.007475659445963193
22,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.00885567868584844,0.0003247789949646454,18683868.336644184,2518199.1000360386,0.1347793,0.013986254247883988,0.021161242225121488,0.0026790000870490003
23,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.0,0.0,30813010.261581004,7044883.926132009,0.2286334,0.02306581206290682,0.03253433338906398,0.007438435920226009
24,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.07636175426144069,0.005822064301542276,11734672.247859633,1739942.4728288327,0.1482736,0.008784268151379594,0.02475225689777562,0.0021979167125270823
25,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.00014879758478750856,2.8883711689320223e-06,10548401.026161326,1203979.735391779,0.1141386,0.007896256599666826,0.011161760337484969,0.001271417261236795
26,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.056163890073520274,0.005209928803390618,13749898.361031689,1992908.6473449601,0.1449399,0.01029281361305575,0.02361027066675594,0.0024270823641217784
27,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.0,0.0,40765322.03593826,18063394.360807266,0.4431069,0.03051585186849512,0.04304261630300451,0.019072479101640626
28,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.0,0.0,54805725.53152224,8929784.006154187,0.1629352,0.04102613001292927,0.05786736612019002,0.009428633148212406
29,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.03380529816525124,0.0016813436408048559,16549552.725371609,2757029.342762592,0.1665924,0.012388561508530863,0.022946737919355885,0.003015234253003699
