event_idx,h,d_hat,sigma_dL,z_true,host_galaxy_index,n_cand_no_bh,n_cand_with_bh,f_bar_z_true,f_k_z_true,L_cat_no_bh,B_num,D_tilde_phi
0,0.73,3.2201355649358168,0.0009481805129169511,,-1,0,0,,,0.0,42998891.120646715,947092103.9967711
1,0.73,3.8076770221225926,0.07115028166078473,,-1,0,0,,,0.0,40657025.62040524,947092103.9967711
2,0.73,5.08656017239729,0.0011506755254398911,,-1,0,0,,,0.0,14480424.752650978,947092103.9967711
3,0.73,3.9265116798896846,0.028405814276075594,,-1,0,0,,,0.0,28963154.574139073,947092103.9967711
4,0.73,4.496141348486518,0.021489407121207414,,-1,0,0,,,0.0,18089456.88959603,947092103.9967711
5,0.73,2.3772079305668257,0.001093069269962801,,-1,0,0,,,0.0,53767472.00454408,947092103.9967711
6,0.73,1.889694820217202,0.01810775182300939,,-1,51,51,,,0.0064592192628825755,46197046.81222426,947092103.9967711
7,0.73,0.8769829485921039,0.008350143114679803,,-1,44,44,,,0.010963743821343516,1466066.36861528,947092103.9967711
8,0.73,3.988678199226813,0.12613463651255113,,-1,0,0,,,0.0,29156318.962294724,947092103.9967711
10,0.73,1.8370563546214267,0.03933929263868124,,-1,0,0,,,0.0,37736031.14705827,947092103.9967711
12,0.73,3.060675190916884,0.12161660741876415,,-1,0,0,,,0.0,51328009.36470078,947092103.9967711
13,0.73,2.151547812913807,0.0009587981145779579,,-1,2,2,,,0.0027955804325797656,42886185.59529669,947092103.9967711
14,0.73,2.822630842580219,0.025704789354843972,,-1,0,0,,,0.0,58640935.094371185,947092103.9967711
15,0.73,1.8573402716113268,0.0032522237457575085,,-1,391,391,,,0.006551918676765994,41268707.00200758,947092103.9967711
16,0.73,1.9052246916241729,9.384412490790375e-05,,-1,83,83,,,0.003177158299774389,43855146.58063327,947092103.9967711
17,0.73,3.056809154229814,0.1757492214212968,,-1,443,443,,,2.1443757301971118e-06,54859069.150609635,947092103.9967711
19,0.73,2.8666060478059108,0.08694200916678312,,-1,972,972,,,0.0001974256523643613,55187020.84495964,947092103.9967711
20,0.73,2.152792822341304,0.05314190802587634,,-1,0,0,,,0.0,56927162.017924756,947092103.9967711
22,0.73,5.121927937262964,0.03837180142476503,,-1,0,0,,,0.0,13238222.654619861,947092103.9967711
23,0.73,3.325583651082099,0.19860106041903577,,-1,2143,2143,,,2.9633025457766306e-05,50626777.16464861,947092103.9967711
24,0.73,2.6664433786443804,0.05456420517073625,,-1,26,26,,,1.3967087028243603e-06,47510689.21502495,947092103.9967711
25,0.73,2.318089907256328,0.11256281605924578,,-1,184,184,,,2.9814180199586712e-06,59488199.248515435,947092103.9967711
26,0.73,2.0218048884973903,0.03447817873100028,,-1,1194,1194,,,0.0048552895366116055,34884490.18088722,947092103.9967711
27,0.73,3.0709169026575918,0.18446537202582874,,-1,281,281,,,0.00016971298107812152,50975583.42793531,947092103.9967711
28,0.73,2.4195528655548983,0.0024995486106314936,,-1,457,457,,,0.0002193079631448711,57005967.34517605,947092103.9967711
29,0.73,2.036107047330709,0.11349321017780271,,-1,77,77,,,0.00018237143392749536,53448627.75842304,947092103.9967711
30,0.73,1.843241843735794,0.07159954608414358,,-1,4711,4711,,,0.01022424424944664,44410741.812280886,947092103.9967711
31,0.73,1.3318406714570217,0.009844982801163697,,-1,3641,3641,,,0.04713075384884114,23800903.864002515,947092103.9967711
32,0.73,3.3352421530925302,0.03687817481240632,,-1,74,74,,,5.5460146033205025e-09,46060416.16169142,947092103.9967711
33,0.73,2.808497253058918,0.08504880474257472,,-1,51,51,,,1.2263229321838819e-05,58394772.619803764,947092103.9967711
34,0.73,4.778920116625171,0.1692333907125216,,-1,0,0,,,0.0,20345535.717512514,947092103.9967711
36,0.73,3.0381106810192064,0.059371071782562596,,-1,0,0,,,0.0,34912546.40517882,947092103.9967711
37,0.73,3.43299782820308,0.04098816973764137,,-1,37,37,,,5.429466105972675e-07,45074363.41526862,947092103.9967711
38,0.73,2.5766182191579183,0.08224216341614318,,-1,209,209,,,2.8980937505167865e-05,55045704.71232534,947092103.9967711
39,0.73,4.233977257877426,0.0014316570944745673,,-1,0,0,,,0.0,28928937.96034521,947092103.9967711
41,0.73,1.759540130792388,0.0009172211206944647,,-1,0,0,,,0.0,34179705.664912656,947092103.9967711
42,0.73,1.2870885368960991,0.005966107223306383,,-1,20,20,,,0.02578848405589079,16031197.113058528,947092103.9967711
43,0.73,5.055080710673992,6.876249567366295e-05,,-1,0,0,,,0.0,11336525.230943803,947092103.9967711
44,0.73,3.684182660222171,0.0018761728331469392,,-1,0,0,,,0.0,42779698.67359308,947092103.9967711
45,0.73,2.3690283364128986,0.0905903133451033,,-1,281,281,,,0.0012108782695902489,54911850.557639465,947092103.9967711
46,0.73,1.3947216587375089,0.05129500653825087,,-1,155,155,,,0.013073899962979627,9793134.025484242,947092103.9967711
47,0.73,2.4753386691529027,0.04995467559096846,,-1,322,322,,,7.210599745179788e-05,48471060.50982382,947092103.9967711
48,0.73,1.6727886479217366,0.002945937690563605,,-1,155,155,,,0.00920890455736934,33531866.933337275,947092103.9967711
49,0.73,2.711242964929812,0.14357685494860375,,-1,0,0,,,0.0,51464855.99165795,947092103.9967711
50,0.73,1.9486225565822648,0.0376455375904117,,-1,57,57,,,0.0006943011017925525,34757640.62671715,947092103.9967711
51,0.73,1.669743831431596,7.984272873243278e-05,,-1,0,0,,,0.0,39263496.34765558,947092103.9967711
52,0.73,2.6712476468123643,0.18871218448482413,,-1,9323,9323,,,2.3898283416675163e-05,28065317.08285001,947092103.9967711
53,0.73,3.030894203187115,0.24445282426031878,,-1,0,0,,,0.0,54130796.680453904,947092103.9967711
54,0.73,1.7921281177464472,0.016920098117974968,,-1,548,548,,,0.003908007668080997,31468772.572410014,947092103.9967711
55,0.73,2.051505061775819,0.18941004288312618,,-1,2032,2032,,,0.008260009315945144,48796268.825921476,947092103.9967711
56,0.73,3.0842606233814376,0.0018865537370866573,,-1,1,1,,,1.229923947438533e-10,54836707.28853118,947092103.9967711
57,0.73,1.6619912642159755,0.0009942505631480136,,-1,2,2,,,0.002798310540181875,33104767.773113485,947092103.9967711
58,0.73,1.4642468180282524,0.1354181033060713,,-1,11620,11620,,,0.032916009218503454,28332614.144819424,947092103.9967711
59,0.73,1.764914410351148,0.00195377064257263,,-1,45,45,,,0.010816088617334652,41582558.44650566,947092103.9967711
60,0.73,2.240203733211389,0.06276414986393905,,-1,0,0,,,0.0,33742095.623252034,947092103.9967711
61,0.73,1.7905201174388117,0.00488250875490531,,-1,7,7,,,0.010501989161551437,46384472.452455774,947092103.9967711
62,0.73,5.233360272278052,0.07835553523735704,,-1,0,0,,,0.0,10986917.194873407,947092103.9967711
63,0.73,2.8914890548023933,0.04706538700264877,,-1,9,9,,,4.560371771856098e-07,27849091.222411335,947092103.9967711
64,0.73,4.463122396981796,0.08194169076206202,,-1,0,0,,,0.0,14684429.278945154,947092103.9967711
65,0.73,2.748375225859008,0.08952203705933418,,-1,64,64,,,0.00028539281516841723,29469418.627336036,947092103.9967711
66,0.73,2.077095542186198,0.01316271387804202,,-1,0,0,,,0.0,28822316.470708136,947092103.9967711
67,0.73,4.130124529250268,0.02738739464561023,,-1,1,1,,,1.211595735266741e-18,32706057.35347205,947092103.9967711
69,0.73,1.3046547382803249,0.0038459918980752075,,-1,0,0,,,0.0,12859301.972455245,947092103.9967711
70,0.73,3.637266132132001,0.04644092364704109,,-1,5,5,,,7.0851606121565384e-09,38669726.632603616,947092103.9967711
71,0.73,1.1643015894458733,0.002844941515135428,,-1,596,596,,,0.06294979065404187,14970105.416956995,947092103.9967711
72,0.73,1.3714511785844463,0.12903001566024977,,-1,2119,2119,,,0.009189983969003114,7678677.763519483,947092103.9967711
73,0.73,2.540055064002731,0.0009819254871867896,,-1,0,0,,,0.0,38044787.866939664,947092103.9967711
74,0.73,2.970701361398528,0.0016507349922143426,,-1,29,29,,,1.7171259026137323e-05,38207272.01550969,947092103.9967711
75,0.73,4.760023053275165,0.046017433580136775,,-1,0,0,,,0.0,19835779.615731243,947092103.9967711
76,0.73,2.793109122724194,0.10230679955623624,,-1,0,0,,,0.0,41152606.03793795,947092103.9967711
77,0.73,3.648682887661761,0.0021783989006792944,,-1,0,0,,,0.0,28491313.39120812,947092103.9967711
78,0.73,1.632531244239279,0.11714020416390608,,-1,0,0,,,0.0,39530018.86907759,947092103.9967711
79,0.73,1.372706039884452,0.0017501018374961417,,-1,27,27,,,0.01984924271165025,15756494.18483294,947092103.9967711
80,0.73,1.075633859154593,0.0191430703563979,,-1,60,60,,,0.03832595626975031,9716273.452456784,947092103.9967711
81,0.73,1.8290774616495016,0.09704558798239825,,-1,284,284,,,0.0034373051923446045,14453564.581095416,947092103.9967711
82,0.73,3.71902036549234,0.10852584591141227,,-1,6,6,,,3.294166035320379e-11,13190565.580358384,947092103.9967711
83,0.73,2.356654623389399,0.011084684842615057,,-1,3,3,,,5.354450764473379e-05,54551029.93120675,947092103.9967711
84,0.73,5.754292768649135,0.11157175555535101,,-1,0,0,,,0.0,4451252.421144255,947092103.9967711
85,0.73,1.6248800202404794,0.05044371640011073,,-1,744,744,,,0.013889585358550857,27606373.113855105,947092103.9967711
86,0.73,0.8112985052019921,0.0016941448866102694,,-1,44,44,,,0.11003517059384588,5825251.485140452,947092103.9967711
88,0.73,5.293580386438476,0.1795855235549784,,-1,0,0,,,0.0,8935611.23762167,947092103.9967711
89,0.73,1.5120091315954498,0.0058745934998810445,,-1,56,56,,,0.0004834532353227196,39290512.9276365,947092103.9967711
90,0.73,1.5676435627397187,0.0003188250948900498,,-1,0,0,,,0.0,27862762.643844943,947092103.9967711
91,0.73,2.921697793381537,0.0040206484454730525,,-1,31,31,,,8.360610108150456e-05,50049258.287109286,947092103.9967711
92,0.73,2.244490543412886,0.029114642816069375,,-1,397,397,,,0.0022801898392104314,52937327.89643946,947092103.9967711
93,0.73,1.2397489299095898,0.010386804300611426,,-1,32,32,,,0.028037954021876445,16259621.816412315,947092103.9967711
94,0.73,1.3223120901629504,0.03615909066302415,,-1,2041,2041,,,0.0526908753568861,22420807.926846884,947092103.9967711
95,0.73,2.0525165168319,0.013744495732226773,,-1,752,752,,,0.004126381902686372,48312192.85003639,947092103.9967711
