detection_index,cond_3d,cond_4d,excluded
0,64.37110899673152,262151178499.84827,False
1,40.11251726021132,121794929704.70659,False
2,364.94569957542905,91577285054.66069,False
3,97.80021792440226,25118065105.177383,False
4,6.619723760244663,55621475157.05197,False
5,8.353415375458843,25373490553.194775,False
6,25.75671499689797,98455547080.31671,False
7,56.99752936805578,159526270484.19876,False
8,57.791814198363944,47005096224.269104,False
10,17.649434147061843,139553223754.72354,False
12,16.9397528535368,211181687144.33148,False
13,2.57480117237799,46555435009.09982,False
14,12.276210642712918,132100901210.67377,False
15,18.608851579116873,174045115542.1872,False
16,7775.996408482655,8012496473489.606,False
17,48.46707203130003,109853432891.84933,False
19,3.598219641880516,43382725241.26935,False
20,27.05682749339864,398474013598.3617,False
22,19.668133656788214,35822447868.74082,False
23,73.84143818872539,649601236024.9497,False
24,76.8203058314892,176474964374.28238,False
25,6.476577971503377,26715516616.91044,False
26,34.235874940495286,298541556183.7793,False
27,72.80645466072276,335107958297.6823,False
28,392.3073024410145,20483016623.649067,False
29,81.52013388567426,2539817792943.854,False
30,31.479437103826765,62376275789.806854,False
31,6.44298094956219,147002936879.23926,False
32,23.400484912949853,86941763666.35165,False
33,35.1057240499338,20696004375.548637,False
34,25.095835960818835,138173622886.03012,False
36,36.62795353895439,316677564625.074,False
37,5.101532234056479,28006534288.198814,False
38,77.63741966260775,519179784832.77826,False
39,8.827148927742508,12794350630.491186,False
41,22.26430545311606,15815495357.330244,False
42,26.92513536333021,52405251462.55205,False
43,515.4905104501121,6088788174.453699,False
44,113.15977065961093,59735070152.46609,False
45,68.55882651694728,163846355372.6934,False
46,142.47923529549536,776460257314.2308,False
47,33.18949122034557,29577243276.00021,False
48,53.713428159706574,661648029957.3107,False
49,80.77170213606801,203679821361.48846,False
50,42.30545805940274,858960462366.1637,False
51,9.774937166321862,15881983684.930405,False
52,57.970685931636616,1778353703073.3408,False
53,64.08123379205404,2794815250875.212,False
54,26.606681585964203,655381554567.1714,False
55,245.6005347673023,1489160420696.6086,False
56,19.35642778971144,60167672424.6126,False
57,1.893530995941228,17305770941.132984,False
58,253.42674708094455,1236716674361.1382,False
59,4.73173700444215,119820079299.52538,False
60,83.92887087957921,389875044352.4364,False
61,11.855867549418463,96114168208.07285,False
62,20.072952759983533,94945377380.71074,False
63,72.42361957723118,28515131067.180008,False
64,25.535853547738323,76493974216.91771,False
65,45.464208266355755,324614551475.8553,False
66,15.097620418441043,181526184353.03906,False
67,39.56524548749772,298723978149.28644,False
69,2.171995486659876,119003425830.74348,False
70,4.163769343511859,15316879880.306652,False
71,12.732451558623364,29666065349.055668,False
72,464.20452608169006,804577710858.287,False
73,8.496082909727043,18992710760.44245,False
74,143.13965020525006,20417079817.632027,False
75,29.458131036706817,94550589624.03487,False
76,54.11781348842811,905716434416.4175,False
77,6.009733660814313,34288455603.737755,False
78,142.53521251669616,237893874312.6013,False
79,5.06839698443441,56622959368.86111,False
80,69.78914696029189,877431021454.4586,False
81,71.52842510569873,1748891784024.06,False
82,89.91767199604291,37047638937.82906,False
83,15.795024714850797,29573908311.168278,False
84,37.808505298867296,89366869629.61133,False
85,14.842744432338147,26380640003.78971,False
86,5.813786745317279,30574422725.860615,False
88,3.706979021829761,341764082774.09766,False
89,5.944560032821486,22837177321.87248,False
90,1.839478322112227,7623579512.76988,False
91,76.89700943171597,140625465900.75012,False
92,33.24971625326486,285762216474.48816,False
93,63.026584065045334,65446460895.43045,False
94,250.42193926078704,793954272571.1907,False
95,44.107849526275196,89051483085.17027,False
97,57.13361589729115,339295644302.1923,False
98,32.54525493191311,71104527275.58876,False
99,35.35008143965627,2294135425.48143,False
100,6.895363185921534,5820168311.803277,False
101,46.32808977329611,99647412692.23186,False
102,5.95713138190618,41442803171.34872,False
103,18.04400527143764,2229253624.565145,False
104,8.249468456839974,84126634905.21838,False
105,16.484711621439224,20838354527.43693,False
106,18.389899761099755,35926199870.43366,False
107,100.2075995796828,2125911374065.2751,False
108,132.22809256254092,377256767407.5326,False
109,94.74327584386263,909438256604.8854,False
110,12.376609284413203,31332526693.404007,False
111,48.55588519367827,24399613428.022484,False
112,10.233156937051744,27650149862.96583,False
113,15.687783058868359,63353211773.75959,False
114,6.523754094949674,89092156061.6616,False
115,5.80259978529163,4803085876.213243,False
116,8.129148750188316,4500481165.064195,False
117,13.16782485635999,33473380315.558693,False
118,1.9461203536616984,5769563672.991936,False
119,12.58822324225121,290011383824.0706,False
120,44.156099476153244,58644480857.8822,False
121,134.9223165057907,1454178480017.066,False
122,1.667158224175659,33283301901.49355,False
123,66.07318356006276,359753107007.7328,False
124,283.7840019661419,155804147744.72784,False
125,14.420553814790855,15788613135.557405,False
126,284.4363304865425,196980701509.01773,False
127,180.65944118802108,64427140833.89085,False
128,131.91240077823048,323666769320.89795,False
129,61.30219020444639,50129174422.53892,False
130,31.206434692343528,10072311452.789812,False
131,69.52044176053319,152407371077.13,False
132,77.91753607760202,179649234618.08615,False
133,4.502748139754873,126224008037.79987,False
134,44.93407516741909,125715619522.92377,False
135,151.29447685619743,732377195521.4668,False
136,197.58095217926234,2329849480443.0444,False
138,30.3998451997165,123195422776.62622,False
139,9.056055418058913,12665281370.997637,False
140,21.724930896155346,320875950383.55646,False
141,18.85672614514227,1541207071601.9238,False
142,3.5389447213452487,22633538870.915546,False
143,17.28234216665866,1147346666742.402,False
144,26.344168938900356,47919656462.53894,False
145,37.60007454467952,45245476912.38139,False
146,54.842729183770814,33296959198.77166,False
147,2.9819889309041567,124137210232.65875,False
148,13.203210783466833,58244477980.59396,False
149,318.31155394276,1386063678317.8994,False
150,6.200479705584448,25252831559.346325,False
151,13.193399918946938,37004079443.75242,False
153,7.384269978180721,642356458.0862919,False
154,608.7712244550374,11766774452138.898,False
155,39.5693315709263,93010244392.14232,False
156,25.70019315817818,79069690311.13652,False
157,106.02009502207562,540352193340.91003,False
158,25.170087268986716,223894412965.6382,False
159,75.36406356361243,1457271412092.89,False
160,1.4024550492483339,33937539708.678375,False
163,58.337601078964035,10057577405.13512,False
164,235.24209147723002,1315030860926.236,False
165,27.752515228449614,228377480479.29388,False
166,36.247456232088034,18635536984.459206,False
167,40.973508274654314,53624752160.84587,False
168,44.94426298385679,28898155259.80566,False
169,5.979083854993541,27128103159.91554,False
170,37.435487414345225,60332237722.576416,False
172,2.754649788256022,31606242627.444893,False
173,95.42333073880079,879300748289.8381,False
175,5.9463951371010015,269790126328.25305,False
176,6.077549723458372,11422672009.733065,False
177,45.324499408823954,150097630315.60074,False
178,10.045102469397914,78006208592.4925,False
179,14.813737447697877,1230298004989.4363,False
180,34.34777316199774,108370036416.14037,False
182,213.69919468580505,239502727051.4496,False
183,222.8519007956525,263277181335.2143,False
