event_idx,h,w_G,w_G_legacy,w_tilde_G,alpha_G_phi,r_Malm,D_tilde_phi,L_cat_no_bh,L_cat_with_bh,B_num,B_num_wbh,g_frac,L_comp,combined_no_bh,combined_with_bh,den_log_term,num_log_term_no_bh,num_log_term_with_bh
0,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.04725470806098058,0.0015117591970264669,26641892.605351333,3497765.282502311,0.1312882,0.01994342268471533,0.03578016822213041,0.0037868416953412204,20.668906905129344,17.338545405785492,15.09268397206512
1,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.07887288134279194,0.02181266998069606,2384218.0571914585,243400.16735792655,0.102088,0.0017847631619665482,0.015285974556823324,0.0016086596116811364,20.668906905129344,16.48808733849074,14.236552919061753
2,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.07482891383108002,0.003513929699306231,8688080.914990382,1265545.298717257,0.1456645,0.006503669711958008,0.021287323928403597,0.0015539902335798808,20.668906905129344,16.81926340097573,14.20197759337528
3,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.01671115375836624,0.005889793326701123,382856.4729946155,38294.312696666224,0.1000226,0.0002865963233774632,0.003109577890530023,0.00040540545494259137,20.668906905129344,14.895638616608993,12.85828403679691
5,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.07640650250426279,0.0018130952982652743,13423850.191165619,2511885.91685266,0.1871211,0.010048742496805142,0.026543042461483025,0.002764560487137857,20.668906905129344,17.039919285311527,14.77803329265951
7,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.017700199275776048,0.012047203115653281,488190.67833663407,40036.90277934277,0.08201079,0.00036544674933678567,0.0033809109439718694,0.0007888006262826981,20.668906905129344,14.979296809381673,13.523909944422117
8,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.004535143363773767,3.6996888688203616e-05,19355756.324734338,5220467.436872352,0.2697114,0.014489211989729002,0.021171221818206246,0.0055143936894355,20.668906905129344,16.813794424234423,15.468513334356684
9,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.008443689296743226,0.00015326815808171994,36558035.328188606,5331570.115918888,0.1458385,0.02736638728610348,0.03996722695112972,0.005638907918175682,20.668906905129344,17.449211418208208,15.490842041379034
11,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.2481086474226035,0.006481449744427079,3661108.7828777144,474763.6164733737,0.1296775,0.0027406100997865303,0.04403142087893994,0.0009029205483898582,20.668906905129344,17.54605511609461,13.659030910431808
12,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.06376802352194565,0.009175463172150967,301309.1957323667,33726.8793350469,0.1119345,0.00022555216847001359,0.010641413259679286,0.0006041854499447307,20.668906905129344,16.12590492639805,13.25727753430621
