event_idx,h,w_G,w_G_legacy,w_tilde_G,alpha_G_phi,r_Malm,D_tilde_phi,L_cat_no_bh,L_cat_with_bh,B_num,B_num_wbh,g_frac,L_comp,combined_no_bh,combined_with_bh,den_log_term,num_log_term_no_bh,num_log_term_with_bh
1,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.021623252523444984,0.0024552406034980094,8285577.557827807,940068.1338976005,0.1134584,0.006202366245916043,0.0122489821591976,0.0011447271505925568,20.668906905129344,16.26659447064076,13.89631793833059
3,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.07665727703050917,0.0015522448067337177,10172080.474245729,2463965.2495065206,0.2422282,0.007614552895542944,0.023150214814409622,0.0026977987218067072,20.668906905129344,16.903155685876552,14.75358777840956
5,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.041913967078546346,0.0007580895629259549,34886200.1886971,7428086.986201887,0.2129234,0.026114895309165553,0.04362043044322754,0.007890022466511298,20.668906905129344,17.536677254896475,15.826750608467512
7,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.10806192613139387,0.0023676471821721863,13320266.10068349,2647184.1178856385,0.1987336,0.009971202160970218,0.031558302081053,0.0029417807500236744,20.668906905129344,17.212988320964474,14.840166721424195
8,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.10495014538717512,0.06693949901842446,1987689.86481456,236971.2208360702,0.1192194,0.0014879325477109317,0.01908888860590799,0.004398238566412741,20.668906905129344,16.71025804353676,15.242355761104363
10,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.0016754548438893773,9.70815516853689e-05,6249209.762823839,421586.68905087485,0.0674624,0.004677994675213575,0.00686954847788249,0.00045115384137695843,20.668906905129344,15.688250006478112,12.965204740202951
11,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.0038055101233769543,0.0019915879906259554,21318.65307688433,3536.878440321032,0.1659053,1.595858506297377e-05,0.0006385756576176877,0.00012714687748317587,20.668906905129344,13.31263650836296,11.69873928099021
12,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.054160720642348434,0.005284095288019379,5623664.189234015,865020.2599057127,0.1538179,0.00420972765051471,0.014705787565934958,0.001240782027165585,20.668906905129344,16.449392754416042,13.97689347404627
15,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.11196136827345925,0.010133679881574638,5918592.055402134,868318.67947398,0.1467103,0.004430502922888209,0.024374417018255042,0.0015447781460145105,20.668906905129344,16.954685725545303,14.196031931373577
17,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.1626688177128223,0.013868006582915161,9516570.745228685,1386006.0199499717,0.1456413,0.007123855489266927,0.03638231432017489,0.0023227897514764323,20.668906905129344,17.355234412391802,14.603920568511173
19,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.08538618433688942,0.001308312649728715,33212997.50942889,8133537.58369211,0.2448902,0.024862379627785564,0.048891383049494065,0.008668977602155013,20.668906905129344,17.650752791343443,15.920902486359246
20,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.07181856183060845,0.008779979743007727,1563599.3018553674,243580.97998698035,0.1557822,0.00117046946507711,0.013277504129210702,0.0008012558799337234,20.668906905129344,16.34722281045466,13.539576693823847
21,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.07008869561437753,0.009092433365074804,720558.5320571881,99229.020097589,0.1377113,0.0005393912357040295,0.012107323715468018,0.0006682016758091897,20.668906905129344,16.254962161391628,13.35798638503009
