event_idx,h,w_G,w_G_legacy,w_tilde_G,alpha_G_phi,r_Malm,D_tilde_phi,L_cat_no_bh,L_cat_with_bh,B_num,B_num_wbh,g_frac,L_comp,combined_no_bh,combined_with_bh,den_log_term,num_log_term_no_bh,num_log_term_with_bh
1,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.01838357857214468,0.001988986675102506,8285577.557827807,940068.1338976005,0.1134584,0.006202366245916043,0.011724518123298994,0.001115834867494359,20.668906905129344,16.222833841408896,13.870754510962932
3,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.0744257555486042,0.0014409414940160872,10172080.474245729,2463965.2495065206,0.2422282,0.007614552895542944,0.022788958471892624,0.0026909016071124214,20.668906905129344,16.88742776725879,14.751027933534328
5,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.026912793844373936,0.0005358693994122651,34886200.1886971,7428086.986201887,0.2129234,0.026114895309165553,0.04119192190320906,0.007876252184947216,20.668906905129344,17.47939379296793,15.825003805830876
7,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.09456483140152239,0.002023027428197816,13320266.10068349,2647184.1178856385,0.1987336,0.009971202160970218,0.02937328566231957,0.0029204257524854814,20.668906905129344,17.14123723647682,14.832881037444498
8,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.08552142848288966,0.055255376139329834,1987689.86481456,236971.2208360702,0.1192194,0.0014879325477109317,0.015943614287218234,0.003674210380444135,20.668906905129344,16.530210017045196,15.062489873261578
10,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.0007991213694402959,4.060976004160201e-05,6249209.762823839,421586.68905087485,0.0674624,0.004677994675213575,0.006727680685718361,0.0004476544628369236,20.668906905129344,15.667382087185972,12.957417993673754
11,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.004593905989165768,0.002048489458246031,21318.65307688433,3536.878440321032,0.1659053,1.595858506297377e-05,0.0007662074143540148,0.00013067288168616377,20.668906905129344,13.494849256171557,11.726093461081016
12,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.05754398409316625,0.0051125392700447905,5623664.189234015,865020.2599057127,0.1538179,0.00420972765051471,0.01525349700540246,0.001230151242658142,20.668906905129344,16.485960414742358,13.968288749483069
15,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.11410416884477036,0.009769604194571404,5918592.055402134,868318.67947398,0.1467103,0.004430502922888209,0.02472131051823352,0.0015222175257656543,20.668906905129344,16.968817271823124,14.181319796376867
17,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.1530329391801064,0.01171544547846401,9516570.745228685,1386006.0199499717,0.1456413,0.007123855489266927,0.034822382110741124,0.002189402339535493,20.668906905129344,17.311411970288,14.544780228408762
19,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.05979757073494206,0.0009506461182588363,33212997.50942889,8133537.58369211,0.2448902,0.024862379627785564,0.04474889594601849,0.008646814137028745,20.668906905129344,17.56221839896637,15.918342571391047
20,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.07169174603824828,0.008344420260782867,1563599.3018553674,243580.97998698035,0.1557822,0.00117046946507711,0.013256974185989041,0.0007742656347043676,20.668906905129344,16.34567539376349,13.505311359168541
21,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.06261802761596788,0.008459888799751448,720558.5320571881,99229.020097589,0.1377113,0.0005393912357040295,0.010897912908021832,0.0006290048872342601,20.668906905129344,16.149722920720098,13.297535373683115
22,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.0025545935374095808,0.001481775279183286,5518.770458931227,855.389471603449,0.1549964,4.131206952627622e-06,0.0004193848698358465,9.272410782317743e-05,20.668906905129344,12.892185389245011,11.383024848743853
23,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.06438461522801787,0.001237292190802184,27692718.53240919,6141699.870494379,0.2217803,0.020730043438045864,0.03966282180273403,0.006561467915193245,20.668906905129344,17.441565896549832,15.642365971630923
24,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.03439480470610622,0.008474285418580857,414301.2724716252,56695.91062157259,0.1368471,0.00031013507629174214,0.006005548550208103,0.00058498784165872,20.668906905129344,15.553835426417686,13.224987410691577
25,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.05253670414935271,0.0008799748939401391,8779697.367518228,2240043.4547040993,0.255139,0.006572251387618317,0.01777521922656476,0.0024197094251082697,20.668906905129344,16.63895693518182,14.644799086837239
26,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.046424670062297994,0.002181208038990479,8803846.756606562,1477998.3429139713,0.167881,0.006590328987483334,0.01681125327854203,0.0016957271006868755,20.668906905129344,16.583200126323526,14.289263242956027
