event_idx,h,w_G,w_G_legacy,w_tilde_G,alpha_G_phi,r_Malm,D_tilde_phi,L_cat_no_bh,L_cat_with_bh,B_num,B_num_wbh,g_frac,L_comp,combined_no_bh,combined_with_bh,den_log_term,num_log_term_no_bh,num_log_term_with_bh
0,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.08052275764187079,0.0025314523280024997,26641892.605351333,3497765.282502311,0.1312882,0.01994342268471533,0.041165863144505405,0.0038500288575702463,20.668906905129344,17.47876097459968,15.1092322698916
1,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.08021226974815217,0.01992960212296899,2384218.0571914585,243400.16735792655,0.102088,0.0017847631619665482,0.015502805342658757,0.001491971844940398,20.668906905129344,16.50217262354467,14.16125025706734
2,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.07406486263006465,0.0037539876330950125,8688080.914990382,1265545.298717257,0.1456645,0.006503669711958008,0.021163633278498267,0.0015688658654203714,20.668906905129344,16.81343592343068,14.21150460575306
3,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.019534939264306956,0.007680951498537402,382856.4729946155,38294.312696666224,0.1000226,0.0002865963233774632,0.0035667146163919686,0.0005163978687811864,20.668906905129344,15.032796522704803,13.1002738790593
5,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.09347289937484016,0.0023545725228372744,13423850.191165619,2511885.91685266,0.1871211,0.010048742496805142,0.029305885733843136,0.0027981141202780583,20.668906905129344,17.138940000285046,14.790097287934042
7,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.017255267444041975,0.013767751471488138,488190.67833663407,40036.90277934277,0.08201079,0.00036544674933678567,0.0033088818608978296,0.0008954175728722658,20.668906905129344,14.957761952091472,13.65068651850223
8,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.006302856594045182,4.9113499994838984e-05,19355756.324734338,5220467.436872352,0.2697114,0.014489211989729002,0.021457393213536752,0.00551514451756314,20.668906905129344,16.82722088409525,15.468649482963219
9,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.015979929315630262,0.00026966971072304736,36558035.328188606,5331570.115918888,0.1458385,0.02736638728610348,0.04118725307574009,0.005646120954693265,20.668906905129344,17.479280443265772,15.492120378826124
11,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.06690838694526693,0.0016874179942290512,3661108.7828777144,474763.6164733737,0.1296775,0.0027406100997865303,0.014697289931077377,0.000605849544644925,20.668906905129344,16.448814744505682,13.260028026245264
12,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.06837051051416303,0.010505067033243286,301309.1957323667,33726.8793350469,0.1119345,0.00022555216847001359,0.01138650024663991,0.0006865768011454227,20.668906905129344,16.193580090950732,13.385114439597766
13,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.010084593167685648,0.00036345768262332866,2307647.563475544,457208.5357191774,0.1981275,0.0017274444968110897,0.0040691345553426645,0.0005052721370694258,20.668906905129344,15.164581963025679,13.078493516579886
14,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.10413214734345448,0.0036000788696658307,17162355.11830461,2904856.981043407,0.1692575,0.012847289322110182,0.03497884004080623,0.003290218024152895,20.668906905129344,17.315894934547646,14.952105457468292
15,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.05903075059913309,0.038704516364190575,180717.0862397698,19941.02362032166,0.1103439,0.00013528007527910957,0.009747177251627723,0.0024194516151479425,20.668906905129344,16.038129356586516,14.64469253532617
