event_idx,h,w_G,w_G_legacy,w_tilde_G,alpha_G_phi,r_Malm,D_tilde_phi,L_cat_no_bh,L_cat_with_bh,B_num,B_num_wbh,g_frac,L_comp,combined_no_bh,combined_with_bh,den_log_term,num_log_term_no_bh,num_log_term_with_bh
0,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.07947629172461827,0.0031225599173025256,26641892.605351333,3497765.282502311,0.1312882,0.01994342268471533,0.04099645296723361,0.0038866579276358236,20.668906905129344,17.474637176114747,15.118701269934718
1,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.10995093263055283,0.049162414033123346,2384218.0571914585,243400.16735792655,0.102088,0.0017847631619665482,0.020317135238811367,0.003303436855800552,20.668906905129344,16.772616256576583,14.956115024119212
2,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.08758176098640971,0.006613415556244314,8688080.914990382,1265545.298717257,0.1456645,0.006503669711958008,0.02335185566487595,0.0017460555812021169,20.668906905129344,16.911828078833565,14.318510916507035
3,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.01678750354957715,0.006751286243750611,382856.4729946155,38294.312696666224,0.1000226,0.0002865963233774632,0.003121937998442246,0.00045878944965152725,20.668906905129344,14.899605588479579,12.981987736627389
5,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.0905945768049618,0.002681427806447106,13423850.191165619,2511885.91685266,0.1871211,0.010048742496805142,0.02883992011683697,0.0028183683097037534,20.668906905129344,17.122912168686227,14.797309730055561
7,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.017839298411687736,0.011755918922818593,488190.67833663407,40036.90277934277,0.08201079,0.00036544674933678567,0.0034034294119741726,0.0007707506649872062,20.668906905129344,14.985935200003764,13.500761276710335
8,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.008422803445338765,8.615695649420869e-05,19355756.324734338,5220467.436872352,0.2697114,0.014489211989729002,0.02180058697261048,0.005517439983546233,20.668906905129344,16.843088520928873,15.469065607764437
9,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.019565650626824017,0.00045606179528639204,36558035.328188606,5331570.115918888,0.1458385,0.02736638728610348,0.04176773799451455,0.005657671083381723,20.668906905129344,17.493275849359765,15.49416396431836
11,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.14525272371225198,0.003624827741959548,3661108.7828777144,474763.6164733737,0.1296775,0.0027406100997865303,0.02738029064913442,0.0007259047066491696,20.668906905129344,17.070975061332263,13.440815095315777
12,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.060586500216966356,0.007751443786101384,301309.1957323667,33726.8793350469,0.1119345,0.00022555216847001359,0.01012636311021434,0.0005159434669106136,20.668906905129344,16.076293858247567,13.099393546393719
13,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.012435795445800698,0.0006188859166101735,2307647.563475544,457208.5357191774,0.1981275,0.0017274444968110897,0.004449765771486893,0.0005211002178601158,20.668906905129344,15.254003085319129,13.109338727157517
14,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.10821297225532303,0.004532818546277428,17162355.11830461,2904856.981043407,0.1692575,0.012847289322110182,0.03563947624532772,0.0033480169554912795,20.668906905129344,17.334605532943957,14.969519843125791
15,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.04387498039859594,0.025966710380873333,180717.0862397698,19941.02362032166,0.1103439,0.00013528007527910957,0.007293641332269177,0.0016301300156787769,20.668906905129344,15.748154544342647,14.249811402004989
17,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.03393638451937922,0.0003007675016801084,27734837.616797008,8220538.05674903,0.2963976,0.020761572680937215,0.034778093460775775,0.008698403837530285,20.668906905129344,17.310139316456848,15.924291168025082
21,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.11285109259035288,0.05994858736198249,967836.3141420194,136317.52485604316,0.1408477,0.0007244969037475287,0.01929113025631342,0.003858757289125379,20.668906905129344,16.72079704421063,15.111496811965822
22,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.05379000109617945,0.01961082079293434,3213177.869794615,274478.65530639555,0.0854228,0.0024053007557584567,0.012100627991149481,0.0015050326145063016,20.668906905129344,16.254408977498137,14.169966194881543
23,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.05730477802570453,0.015635511367804042,1269224.624650459,171441.9869513894,0.1350762,0.0009501082954658002,0.010617078561838444,0.0011499025879470417,20.668906905129344,16.12361551577813,13.90082885880159
24,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.1256760058175687,0.004307252979694061,16341472.217176126,2995523.0102879438,0.183308,0.01223279789260219,0.03759978989444839,0.0034297703223917474,20.668906905129344,17.388150088613834,14.993644923681217
25,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.034156419946565125,0.0007655614534638602,26181344.565611802,5271504.663749296,0.2013458,0.019598668490289305,0.03317343789867958,0.005613428879936312,20.668906905129344,17.26290111855542,15.486313367514741
29,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.14550655597753856,0.01088586673390054,11527532.774633195,2025800.7982114304,0.1757359,0.008629208969570028,0.03572725312673726,0.0028135319301175942,20.668906905129344,17.33706541660245,14.795592234869542
30,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.0553611084642692,0.000863439549886612,11067321.474187229,2797495.386448522,0.2527708,0.008284706849355306,0.020647874965323068,0.003007277939369602,20.668906905129344,16.788764033010654,14.86218695666684
34,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.19116949507709047,0.030810048925308624,3869457.632087315,600743.2183988973,0.1552526,0.0028965745887668086,0.03503364861824781,0.002543504253860747,20.668906905129344,17.3174606148909,14.694694383870267
36,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.02576327401972026,0.0006033003643449744,18387267.065810315,3656369.8979322496,0.1988534,0.01376422630862732,0.023585206988031873,0.0038980121982862717,20.668906905129344,16.921771319102366,15.121618356598194
37,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.0470557275234073,0.00630840020683268,2512403.685839086,321669.4056702662,0.1280325,0.0018807195646176156,0.0102705086415177,0.000730550623314115,20.668906905129344,16.090428175786055,13.447194875494919
