event_idx,h,w_G,w_G_legacy,w_tilde_G,alpha_G_phi,r_Malm,D_tilde_phi,L_cat_no_bh,L_cat_with_bh,B_num,B_num_wbh,g_frac,L_comp,combined_no_bh,combined_with_bh,den_log_term,num_log_term_no_bh,num_log_term_with_bh
1,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.024461861455163995,0.0026588489594305525,8285577.557827807,940068.1338976005,0.1134584,0.006202366245916043,0.012708518618435926,0.0011573441172334719,20.668906905129344,16.303424152111738,13.907279452119852
3,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.0751741681695364,0.001513144261543033,10172080.474245729,2463965.2495065206,0.2422282,0.007614552895542944,0.022910117424797136,0.002695375784535528,20.668906905129344,16.892730248081673,14.752689258463157
5,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.027339248673344717,0.0005703833888777716,34886200.1886971,7428086.986201887,0.2129234,0.026114895309165553,0.04126095978297492,0.007878390907848526,20.668906905129344,17.481068395346586,15.825275309653826
7,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.0961485694256268,0.0022235640738613068,13320266.10068349,2647184.1178856385,0.1987336,0.009971202160970218,0.029629673696551995,0.0029328523749442155,20.668906905129344,17.149927975068326,14.837127082432641
8,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.09145732876285441,0.0554230418945768,1987689.86481456,236971.2208360702,0.1192194,0.0014879325477109317,0.01690456476072883,0.003684600097659256,20.668906905129344,16.588735315789805,15.065313624233188
10,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.0008261477189497086,4.278119843947918e-05,6249209.762823839,421586.68905087485,0.0674624,0.004677994675213575,0.006732055924878964,0.00044778902001510685,20.668906905129344,15.668032209761368,12.957718531187899
11,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.005081073367319432,0.0020702520681074553,21318.65307688433,3536.878440321032,0.1659053,1.595858506297377e-05,0.0008450739216462264,0.00013202144187360426,20.668906905129344,13.59282045193412,11.73636069499614
12,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.05951550174939173,0.0058451693879489515,5623664.189234015,865020.2599057127,0.1538179,0.00420972765051471,0.015572661872723246,0.001275550016767339,20.668906905129344,16.506668559020095,14.004529097437409
15,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.11553447953041474,0.010035437238078305,5918592.055402134,868318.67947398,0.1467103,0.004430502922888209,0.024952860521739537,0.0015386903597346623,20.668906905129344,16.978140091942826,14.192083265007412
17,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.1556895857716212,0.012264575193749216,9516570.745228685,1386006.0199499717,0.1456413,0.007123855489266927,0.03525246106753951,0.0022234301733518222,20.668906905129344,17.323686970487206,14.560202752688287
