event_idx,h,w_G,w_G_legacy,w_tilde_G,alpha_G_phi,r_Malm,D_tilde_phi,L_cat_no_bh,L_cat_with_bh,B_num,B_num_wbh,g_frac,L_comp,combined_no_bh,combined_with_bh,den_log_term,num_log_term_no_bh,num_log_term_with_bh
0,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.09123224134618,0.002635608048119505,11163858.118321473,1838081.272392939,0.1646457,0.008356971651524296,0.0265569071161074,0.0021040832622420975,20.668906905129344,17.040441495032994,14.505031493548648
2,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.054506610459589225,0.0009374327902508067,8219484.4839886995,1832656.6717577802,0.2229649,0.006152890702731822,0.017502614890894122,0.0019931250679535322,20.668906905129344,16.623501918251076,14.450855419023354
3,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.05862244692264688,0.005768664193006693,1014151.4549951858,198340.93449526525,0.1955733,0.0007591672045560866,0.010561070767866046,0.0005668868541628141,20.668906905129344,16.118326297757008,13.193556079238654
4,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.11772492598029842,0.004624582294978446,15363608.520921988,2534842.5938164303,0.1649901,0.011500794753361356,0.03528011561819851,0.0029630185728296873,20.668906905129344,17.324471134440248,14.847360162970654
5,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.004088096556564535,0.0010879751799890876,45198.73868776847,5850.171645697783,0.1294322,3.383459140155463e-05,0.0007095370950650607,7.359536792075483e-05,20.668906905129344,13.418009125788233,11.151978435060045
6,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.008356592936837475,0.00403185233353217,109068.83778110139,15189.33981510088,0.1392638,8.164607394154266e-05,0.001467993148312609,0.00026587902269493584,20.668906905129344,14.145047888966655,12.436437750594278
7,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.04241610461468656,0.0019432571719959872,23325.87445995358,2804.1009020928373,0.1202142,1.746113839344956e-05,0.006891283346347017,0.0001233782562555658,20.668906905129344,15.691408955997506,11.66865123772597
13,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.10865799398397638,0.03981465633777069,4860879.513864825,513273.0894152966,0.1055926,0.0036387270304140376,0.02272284058367058,0.0030091348126194267,20.668906905129344,16.884522237874823,14.8628042259219
14,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.006960435578647283,0.0023466775541370567,64408.460340241334,7300.883922809072,0.1133529,4.821448566229656e-05,0.0011948168923087605,0.00015312493211273986,20.668906905129344,13.939144571596534,11.88465048511859
15,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.04627480035404392,0.011360239103929335,1150908.5354228953,137352.02505711134,0.1193423,0.0008615399714048498,0.008706532918300985,0.0008489831238003316,20.668906905129344,15.925225280165314,13.597435655540725
16,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.022356302536411406,0.007888834421891129,46517.12812854771,5250.364434859126,0.1128695,3.4821503190067905e-05,0.003668330768258077,0.0004943898174297601,20.668906905129344,15.060888353209137,13.056720657282861
20,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.004014415865851527,0.0005127232714790491,2466910.507411367,346301.41532135283,0.1403786,0.001846664563342183,0.003254606187917474,0.00039741887187609034,20.668906905129344,14.941222907673335,12.838387164519844
22,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.060444784274243345,0.002490110647251312,9144604.531348074,1554108.9277894075,0.1699482,0.006845411328495698,0.019440733929177077,0.0017952312093713473,20.668906905129344,16.728522178025344,14.3462854472417
24,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.10834781961103014,0.004460869811760318,9422821.25029218,1647850.5413481507,0.1748787,0.007053677073953378,0.02748941495047644,0.0020163312791825847,20.668906905129344,17.074952645830752,14.462431287847817
26,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.04337506218719544,0.013485640562207402,433061.8091548334,52954.91275655447,0.1222803,0.00032417872245485955,0.007479152205941656,0.0008915757064304666,20.668906905129344,15.773271070258314,13.64638670114369
