event_idx,h,w_G,w_G_legacy,w_tilde_G,alpha_G_phi,r_Malm,D_tilde_phi,L_cat_no_bh,L_cat_with_bh,B_num,B_num_wbh,g_frac,L_comp,combined_no_bh,combined_with_bh,den_log_term,num_log_term_no_bh,num_log_term_with_bh
0,0.6,0.0832024811136007,0.1625175,0.08320248,9.297923e+07,0.3840379,1.117505e+09,0.0016618550859307801,7.192617451336692e-05,69689043.8797313,13322279.523437332,0.1911675,0.044233702026305464,0.06272129952604102,0.011927429103274143,20.83436477161224,18.065310587941685,16.405450207048577
1,0.6,0.0832024811136007,0.1625175,0.08320248,9.297923e+07,0.3840379,1.117505e+09,0.009133272341795355,0.0005381336305238096,60495125.55818635,10935868.55629653,0.1807727,0.03839804952128249,0.05611281522456991,0.00983073835845181,20.83436477161224,17.953973714446946,16.212123536730495
2,0.6,0.0832024811136007,0.1625175,0.08320248,9.297923e+07,0.3840379,1.117505e+09,0.00678863896785971,0.00022863329196876902,62978917.69303965,18026381.0384997,0.2862288,0.0399745860193006,0.057827468271124435,0.016149933766241745,20.83436477161224,17.98407338502684,16.70852544112886
3,0.6,0.0832024811136007,0.1625175,0.08320248,9.297923e+07,0.3840379,1.117505e+09,0.006486865485225061,0.0002547015308388954,4890429.173775215,489676.233418445,0.1001295,0.003104100369447602,0.005781592209217851,0.00045937868100772746,20.83436477161224,15.68128860610266,13.14872909666101
4,0.6,0.0832024811136007,0.1625175,0.08320248,9.297923e+07,0.3840379,1.117505e+09,0.010588144592989025,0.00046748184075566334,59216598.2400601,12733658.886754842,0.2150353,0.03758653033155034,0.05528392537029233,0.011433613014105126,20.83436477161224,17.939091678437762,16.363167019709785
5,0.6,0.0832024811136007,0.1625175,0.08320248,9.297923e+07,0.3840379,1.117505e+09,0.0,0.0,38486835.45132114,22939237.219179906,0.5960281,0.02442873537233774,0.03443995289525606,0.02052718130803195,20.83436477161224,17.465826804455133,16.94835941798712
7,0.6,0.0832024811136007,0.1625175,0.08320248,9.297923e+07,0.3840379,1.117505e+09,0.06292226055422641,0.01658492398599084,10879582.471725086,954566.031650425,0.08773922,0.0069055935113047345,0.02336781322250782,0.0022341004413096847,20.83436477161224,17.077969064809064,14.730448152566199
8,0.6,0.0832024811136007,0.1625175,0.08320248,9.297923e+07,0.3840379,1.117505e+09,5.432880830814359e-05,1.1983470170858989e-06,65094483.952277005,27069445.36591138,0.4158485,0.04131739863830438,0.058261583249825895,0.02422319865266425,20.83436477161224,17.99155241938133,17.113920288619017
9,0.6,0.0832024811136007,0.1625175,0.08320248,9.297923e+07,0.3840379,1.117505e+09,0.004961728067343474,0.00025493055081155294,50301224.93270968,8222837.191557353,0.1634719,0.03192767860428029,0.04608702880114243,0.00737941846537501,20.83436477161224,17.757141032132512,15.925304329408029
10,0.6,0.0832024811136007,0.1625175,0.08320248,9.297923e+07,0.3840379,1.117505e+09,8.483040274469093e-06,9.65041439141058e-07,47440565.51185143,21543821.452427477,0.4541224,0.030111933267906257,0.04245403801099887,0.019278573505991613,20.83436477161224,17.67503152479748,16.885603790796793
11,0.6,0.0832024811136007,0.1625175,0.08320248,9.297923e+07,0.3840379,1.117505e+09,0.0,0.0,39440095.54232694,8162288.339619694,0.2069541,0.025033797810730347,0.03529297789058704,0.007304025457992038,20.83436477161224,17.490293510168566,15.915035121403012
12,0.6,0.0832024811136007,0.1625175,0.08320248,9.297923e+07,0.3840379,1.117505e+09,0.0,0.0,35473474.279047,6989534.108516863,0.1970355,0.022516065707619035,0.031743446008874666,0.006254586084677511,20.83436477161224,17.384295771742917,15.759924460846626
13,0.6,0.0832024811136007,0.1625175,0.08320248,9.297923e+07,0.3840379,1.117505e+09,0.013429924662186355,0.00023289285044670818,55993962.1964539,19402253.828858495,0.3465062,0.03554102770221138,0.05301582538575184,0.01738148823137258,20.83436477161224,17.89719995379645,16.78201523776415
14,0.6,0.0832024811136007,0.1625175,0.08320248,9.297923e+07,0.3840379,1.117505e+09,0.0036098081494826137,0.0001142455679883251,59389589.20666185,16988359.389763232,0.2860495,0.037696332826231,0.0539268577186129,0.015211542530490492,20.83436477161224,17.914238134355752,16.648664009307453
