event_idx,h,w_G,w_G_legacy,w_tilde_G,alpha_G_phi,r_Malm,D_tilde_phi,L_cat_no_bh,L_cat_with_bh,B_num,B_num_wbh,g_frac,L_comp,combined_no_bh,combined_with_bh,den_log_term,num_log_term_no_bh,num_log_term_with_bh
0,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.0,0.0,42325931.87492123,16884053.64370245,0.3989057,0.031684083500001334,0.04469040729650675,0.017827256264148956,20.668906905129344,17.560910502868595,16.641880163071047
1,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.0,0.0,16489982.734833654,11505065.02158035,0.6977002,0.012343968974576113,0.017411171168300515,0.012147778418834304,20.668906905129344,16.618263647526966,16.258297933028885
2,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.0,0.0,48519599.98712414,6740989.048170197,0.1389333,0.0363205011509641,0.05123007549357581,0.0071175644055345,20.668906905129344,17.697478397717685,15.723717215174739
3,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.0,0.0,34662532.67162874,10192532.183679841,0.2940504,0.02594746366683399,0.03659890366032121,0.010761922880221363,20.668906905129344,17.361169911469844,16.137165871255043
4,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.000241800288289501,4.7367416558259544e-06,53453678.71115634,25800646.678222194,0.482673,0.04001402319200971,0.05647893375169919,0.027242255067574234,20.668906905129344,17.795019340820055,17.065920889155255
5,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.03874901118047691,0.0006475746697531382,25129883.153942157,7080347.163085667,0.2817501,0.018811572029830515,0.03280672313775524,0.007516008414993768,20.668906905129344,17.25178509424511,15.778186827308463
6,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,2.5794645139081862e-11,6.379177778664835e-12,8051997.6356435185,5431968.087774449,0.6746112,0.006027514436857684,0.0085018105479062,0.005735416930650866,20.668906905129344,15.90143077259702,15.507812073414906
7,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.0,0.0,42144777.09927099,17420200.665447105,0.4133419,0.031548475781898684,0.04449913257793846,0.018393354344242843,20.668906905129344,17.55662132249882,16.67314104857872
8,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,1.669868532093674e-08,1.2185033273953013e-09,39385700.23778813,15600181.408333322,0.3960874,0.02948310314177634,0.04158592668217505,0.01647166248563551,20.668906905129344,17.488913435268508,16.56279310547551
9,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.00011608045027380548,1.746722684328084e-06,10237534.219095364,3468028.3849059236,0.3387562,0.007663549853798514,0.010828230908773048,0.003661872886982714,20.668906905129344,16.143308322826392,15.059126360432439
10,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.000745547080844851,2.2103204010260415e-05,45722954.401924014,10063755.812494729,0.2201029,0.034227005548711505,0.04839789450635473,0.01062732227374576,20.668906905129344,17.640607936988737,16.12457988401619
11,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,7.643460642482413e-08,1.2203574954549405e-09,29720537.409018535,14962834.08981194,0.503451,0.02224801551245253,0.03138084353439459,0.01579871070436426,20.668906905129344,17.207349254365322,16.52107996186098
12,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.0002582481927184149,1.3432726930628003e-05,58310538.07108032,12902342.15037773,0.2212695,0.043649740840527064,0.06160977707464283,0.013623944746148196,20.668906905129344,17.881972202836394,16.372980513873134
13,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.0056801900194241965,0.002814244096908854,83431.88477470474,9132.855644320953,0.1094648,6.245492270733743e-05,0.0010076467578905104,0.0001840328658826456,20.668906905129344,13.768769295777743,12.068510707751015
14,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,4.994155737121368e-23,3.4627947820524125e-25,25460782.203930587,4887560.493512126,0.1919643,0.01905927438782908,0.02688311104747357,0.005160596813009423,20.668906905129344,17.05264987347826,15.402203860388344
15,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.0,0.0,23231564.658950638,15305389.219933394,0.6588187,0.017390540547696846,0.02452936156991743,0.01616040209325362,20.668906905129344,16.961022457577375,16.54371556093887
16,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.0,0.0,16851439.006193392,12269620.919421654,0.7281052,0.012614545667776974,0.01779281965827776,0.012955045098194045,20.668906905129344,16.63994661207722,16.322636921297175
17,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.0,0.0,32583078.091201987,16768492.926334992,0.5146381,0.024390838457602867,0.03440328343325843,0.01770523991866388,20.668906905129344,17.29930363461286,16.635012262518096
18,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.021025918373009957,0.016243242458279267,8065.030250269655,1423.7677088520309,0.1765359,6.037270310662379e-06,0.0034123574930011113,0.0010080457289180324,20.668906905129344,14.988555025493584,13.769165160757488
19,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.0,0.0,32024439.647005044,18847855.52678751,0.588546,0.023972656356744403,0.03381343748074815,0.019900763027427548,20.668906905129344,17.282009908232713,16.751909700229387
20,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,1.188896702188092e-10,1.738787109718784e-12,11629940.157990353,5448395.333015093,0.4684801,0.008705868453285432,0.012279629538816738,0.005752761859300344,20.668906905129344,16.269093380562342,15.510831688994708
21,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.06026809494938186,0.004127305207099282,8770720.16073083,1420829.220068118,0.1619969,0.00656553128585448,0.019017359197584575,0.001755957803568421,20.668906905129344,16.706503830174995,14.324166091212879
22,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.0,0.0,32643188.587681103,9082911.390596522,0.2782483,0.024435835600141845,0.03446675191348907,0.009590314766923121,20.668906905129344,17.301146772862428,16.02190533691508
23,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.010333332903522598,0.0002443948768280991,8531921.9649701,1971922.361122423,0.2311229,0.006386773213935557,0.010681386771935792,0.0020972252582808566,20.668906905129344,16.12965429880932,14.501766791602124
24,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,1.3162742053407835e-08,2.521887839984331e-10,58676308.25865966,20394957.78203939,0.3475842,0.04392354681836879,0.06195417534281083,0.0215342918716905,20.668906905129344,17.887546630543763,16.83079826144212
25,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.0,0.0,17837282.614450727,10847644.552332941,0.6081445,0.013352522360039136,0.018833735957861537,0.011453632129922101,20.668906905129344,16.69680135369651,16.199458522431993
26,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,1.4870662178903e-08,2.6376791941258584e-09,24126292.527955543,16148322.88412314,0.6693247,0.01806031038513607,0.02547407449196593,0.017050425160105777,20.668906905129344,16.998812874545635,16.597326765642418
27,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,2.2519367092039974e-06,1.1163881659964606e-08,30869009.996877618,5372649.389457811,0.1740467,0.023107731997342267,0.032593826027855204,0.005672785172608122,20.668906905129344,17.245274510935527,15.496831835381894
28,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.02600955204884705,0.0008473375434608824,15582515.316398775,3250501.9197058817,0.2085993,0.011664662644258611,0.020663641375857012,0.0034845932203971908,20.668906905129344,16.789527326769676,15.00950294056201
29,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,6.893126749518457e-05,6.002431724141329e-07,58660975.86762349,25361820.12565268,0.4323457,0.043912069392206494,0.06194914343822972,0.02677865779461094,20.668906905129344,17.88746540746381,17.048756845460804
30,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,1.8247033118958335e-08,2.8963804607585346e-10,47328799.153792545,23125486.1552293,0.4886134,0.035429098850675834,0.04997275529143188,0.024417357165831155,20.668906905129344,17.67262958889521,16.95644586480567
31,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,1.6578608811105133e-05,1.779616830055705e-07,56025363.8109686,21422288.363191422,0.3823677,0.04193911926972749,0.059157821559872856,0.022619023764487167,20.668906905129344,17.8413604404564,16.879942937835196
32,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.0,0.0,45238854.86202584,12281673.809737122,0.2714851,0.03386462131840625,0.047766056406885714,0.012967771305354472,20.668906905129344,17.627466896381346,16.323618775119282
33,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.0006438196763875229,1.3136756825687192e-05,50694433.73613383,18582612.761418775,0.3665612,0.0379485247064968,0.053630629725049436,0.01962151691160714,20.668906905129344,17.74327198110274,16.737778391852746
34,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.0009925444680729816,4.333594815519522e-05,45808972.12295082,9849400.489464596,0.2150103,0.03429139616067835,0.04852870336991168,0.010402308034532085,20.668906905129344,17.643307071093066,16.10317933406983
35,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.0,0.0,15346175.13658499,4061684.525377735,0.2646708,0.011487744578668135,0.016203466454659945,0.004288584508557557,20.668906905129344,16.546376824178083,15.21710835325601
36,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.0,0.0,25075972.68479811,12985256.127824005,0.5178366,0.018771216065290103,0.02647680471516591,0.013710658206340907,20.668906905129344,17.03742068207879,16.37932512778426
37,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.0,0.0,2934911.9992532567,1632609.666913758,0.5562721,0.0021969982167030335,0.003098866506085096,0.001723812985056123,20.668906905129344,14.892188027576177,14.305690315158978
38,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,3.816032212760778e-05,8.883649450674156e-07,29474556.67974867,8225286.621368907,0.279064,0.022063880784158562,0.03112728677728207,0.008684835110852766,20.668906905129344,17.199236448989282,15.922730040150865
39,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.0,0.0,11609480.588955292,8563882.636720648,0.7376629,0.008690552956024875,0.012258027007049014,0.00904229124134884,20.668906905129344,16.267332614426543,15.96306422433819
40,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.0,0.0,22474146.236621134,12497000.736119688,0.5560612,0.016823556964005292,0.023729631090555217,0.013195127151183908,20.668906905129344,16.92787615035331,16.34099923237163
41,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,6.074570759009435e-12,1.2660854936128727e-13,32195483.62718251,16930112.240407366,0.5258536,0.02410069539829771,0.03399403658023069,0.017875887856069084,20.668906905129344,17.28733674068082,16.644604383763347
42,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.0,0.0,33158190.770236127,18976457.063939184,0.5723007,0.02482135273897239,0.035010523929306425,0.02003654869875663,20.668906905129344,17.316800326134807,16.75870966691127
43,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.007649988207468926,0.003373797017086457,519.748216407132,66.48021666512055,0.1279085,3.890698954079668e-07,0.0012389893639844153,0.00020913373773347518,20.668906905129344,13.975447644402575,12.196370287946957
44,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.047391896707797226,0.026965737297676103,18132.694060791047,2342.051936059882,0.1291618,1.3573659627857891e-05,0.007691320625106723,0.0016734544457568305,20.668906905129344,15.80124412770408,14.276041646505906
45,0.73,0.061966841110858734,0.1215039,0.06196684,5.868831e+07,0.3827762,9.470921e+08,0.002593207949261967,6.498930699801877e-05,56540557.996748134,15120792.637693569,0.2674327,0.04232478013714069,0.06011892143637606,0.01596952047873491,20.668906905129344,17.857476250691015,16.531833561544797
