event_idx,n_cand_nomass,n_pass_mass_filter,z_min,z_max
0,6806,1596,0.19299471326814616,0.38266278304052553
1,23,20,0.0981706731576537,0.16281059056953648
2,134,49,0.13290623554159986,0.24479116411251495
3,39,31,0.08080393681772813,0.13576201661079668
4,1743,793,0.0912948829666624,0.29512168528646204
5,200,35,0.1635424431401799,0.29892790005848263
6,524,154,0.10382250120870909,0.36505168357001555
7,103,72,0.07413566893928195,0.12893673431842193
8,18277,601,0.2216318322914235,0.5001986769028529
9,360,53,0.2341625364045633,0.4184145178768516
10,4190,2075,0.054570710396313775,0.25885751410566693
11,1,0,0.1159550681822231,0.19025614553492687
12,67,48,0.0640099689051019,0.108482795683923
13,23,6,0.14438566678208928,0.24264713316885328
14,1124,238,0.15086122454971307,0.3224368204243363
15,8,8,0.05758071104749333,0.0981325997880091
16,221,117,0.04739055781855837,0.23285431758933395
17,1598,73,0.19588663745106316,0.44646681661044524
18,1491,657,0.01805675190213626,0.2125247866913387
19,199,125,0.0035429346212023983,0.11204072271228366
20,284,218,0.017177050698463443,0.0656704220177781
21,13,10,0.08641352050944068,0.14458916351948906
22,596,385,0.10752824261425988,0.17777218727447197
23,6447,3788,0.07264456081866087,0.16835021800100458
24,1348,234,0.16391674385012667,0.2796771237561833
25,644,124,0.16135521354537338,0.41485233738140564
26,20901,5213,0.012911416669043597,0.2502561263027266
27,10510,3419,0.027571893741767953,0.24988243047165845
28,9857,2950,0.0653990584952597,0.3649839876318481
29,26,7,0.14445880516119214,0.23539313956938898
30,22250,3610,0.13480090249081386,0.3364786874785571
31,1573,893,0.042308855830760904,0.215148423464028
32,488,232,0.0,0.16497115279792132
33,1097,294,0.057124769670174116,0.30421284055768755
34,4,2,0.11640399140633184,0.1916207786010376
35,44816,22171,0.06951279880960175,0.22388225894589894
36,11097,2058,0.16576600830330349,0.44174242996222995
37,494,241,0.11434633009531658,0.19199148082799147
38,4,2,0.13206771017697272,0.21616071508605467
39,212,181,0.0,0.08679548380285808
40,3710,1739,0.12311640530450274,0.25934909928353433
41,23361,9000,0.0,0.2671353022541954
42,1442,261,0.15923082986084883,0.3724809675987823
43,1488,948,0.048883028137979324,0.13396868084209396
44,1268,559,0.07614235426416643,0.27930215087388577
45,2061,637,0.08465077860677922,0.23202752904439217
46,1034,322,0.058796689599787025,0.41470348116471867
47,5,2,0.05077403012758583,0.09422212302554568
48,6250,2887,0.11383169748148249,0.3224005688297762
49,7863,2525,0.08013288935764758,0.3667240944534622
50,889,570,0.0,0.17428005329735333
51,3,3,0.06595694595047671,0.11113504501343556
52,1836,1454,0.02779531049851591,0.09534388453289952
53,17295,5619,0.0930383991404693,0.35973338790830356
54,1358,369,0.08683621684766527,0.3931181920021033
55,35,25,0.025379999961983764,0.06503905507548378
56,4199,1751,0.027790812795432728,0.3369021736616066
57,19873,5470,0.01676758290854194,0.23680812901031628
58,880,309,0.09457766981176313,0.38470884645933445
59,2290,1059,0.011527248999578282,0.2813735898931666
60,13,9,0.12108772170809423,0.20170561354896563
61,810,444,0.0,0.19966740244157272
62,1563,627,0.05125065209465499,0.28947074959716407
63,11469,7690,0.04200508308508171,0.18170271780855782
64,5432,4293,0.018572162610464377,0.17424012397199642
65,1979,460,0.10282374972105088,0.22854217868400725
66,190,130,0.09624001277065428,0.15891308577001195
67,3524,2605,0.0,0.09234877979929801
68,162,58,0.0,0.1785658870795731
69,628,317,0.0,0.21166298368078154
70,3,1,0.11347870342329727,0.18631670022903085
71,280,37,0.1546554140169031,0.3370022360670979
72,12104,3108,0.09219029733806276,0.26342427754778863
73,6302,1971,0.14278105894125875,0.41174944074381586
74,23,15,0.05650366413811116,0.09603405369813428
75,200,119,0.036131717401876845,0.13800515316953665
76,187,97,0.09639187701307239,0.22345517294023418
77,2245,370,0.15737873999991847,0.31184248565837475
78,365,288,0.03236274989615224,0.0811084016856961
79,5890,2169,0.07136573349797591,0.27729593122964247
80,1217,395,0.02912693816018657,0.2980791995109338
81,3416,1634,0.031476011240968854,0.14205975210934702
82,21,2,0.20472788077773274,0.3305293625643866
83,157,42,0.17917120752265525,0.34057970051260805
84,2,1,0.09999906376138666,0.16593719784255628
85,784,652,0.0,0.0792049298573782
86,264,135,0.0737760789059598,0.15826463894631612
87,157,124,0.050348671462421925,0.10777524676260182
88,1163,492,0.03577955234861469,0.27332254653811916
89,34,15,0.13452255499989604,0.22421386106948837
90,37,23,0.0864680320947557,0.18058818270739216
91,41704,16124,0.06076183048677544,0.4405674962914152
92,2461,747,0.0907053475808217,0.3018796348793151
93,92,68,0.061923509785738746,0.1138749870600215
94,631,317,0.07329910827563557,0.21404068377263652
95,144,69,0.06174733399674279,0.20545255297656148
96,192,7,0.18947037285289042,0.35185063432789926
97,16675,7343,0.07945064830154876,0.3817467968360734
98,299,0,0.25991913695088054,0.44324360688900954
99,4149,831,0.15708318751239037,0.46194685695979354
100,647,234,0.052332280735123464,0.26863705303453717
101,7802,2637,0.03250835148348122,0.2908560463762808
102,16050,7766,0.0,0.27985631337686595
103,1948,996,0.0,0.21407722287567224
104,3367,825,0.0,0.3130914288257843
105,3166,1257,0.03551507095047691,0.26690036908581116
106,10,2,0.20659383420434427,0.3447504742717777
107,33,14,0.16523340971543116,0.27024498831200183
108,3776,2125,0.0,0.1515165727682934
109,705,210,0.0,0.34312795411352515
110,2265,1061,0.017712948623970697,0.23498105880637196
111,1501,0,0.27305369638101923,0.464806280625413
112,435,129,0.13392566570307252,0.3075621332403311
113,1,1,0.051050868778449,0.08645244142738781
114,1889,647,0.06400275394535647,0.2452041775701107
115,2919,772,0.18962736725230517,0.33109697689065404
116,1377,128,0.20034650017129793,0.34822741131240326
117,17,9,0.10183603220537454,0.16935857334530663
118,2689,646,0.06877261139695513,0.3035903932562162
119,12357,2127,0.15774352664933075,0.3610207989296883
120,281,215,0.06360986440183679,0.1417905719804373
121,18476,6636,0.11090175158784363,0.4111192189010376
122,719,206,0.18485394349948397,0.33615083952190156
123,1,1,0.05954979214984149,0.101692064876404
124,223,136,0.03213461189259605,0.17736904594822406
125,2577,261,0.17750975932191426,0.369449389411891
126,166,96,0.07870776109264044,0.23043180035562977
127,908,369,0.0,0.24482212194769923
128,137,100,0.04945318025786797,0.11489253934678792
129,55147,15472,0.11122201125232602,0.3650774864987584
130,54,29,0.08568194020981161,0.16283261003723273
131,4747,2746,0.0,0.16707598824299363
132,165,29,0.11186919062471909,0.18621691996010736
133,15437,5042,0.09145575652252025,0.28925811618026753
134,2317,1505,0.029287792313312674,0.13488580098269823
135,36002,13221,0.09435018231480619,0.22298880666655113
136,192,112,0.11276062410010308,0.18937827720749864
137,125,86,0.06932174354162299,0.16834250154353503
138,248,50,0.13135335426817543,0.22807617370898778
139,2166,480,0.1044150739997299,0.34563446455343094
140,323,88,0.1283513429626479,0.2122281312760694
141,2320,1532,0.0,0.1486237321020401
142,129,37,0.1407028980759651,0.24666716863172514
143,81,56,0.06207758136335209,0.1466497106865868
144,554,137,0.13114165170521422,0.2648012267003367
145,681,333,0.09217634133985202,0.2166641661344334
146,52,2,0.2169576263738448,0.36993077803204455
147,10,1,0.21352619503694495,0.34331751147712464
148,789,281,0.051156218585681264,0.3294233460634932
149,1221,823,0.0,0.1793893332073799
150,2895,1354,0.04408039963864842,0.23026717335546967
151,2,2,0.0,0.048386411675895004
152,36,31,0.0,0.09039738994990278
153,6825,307,0.21386479158341085,0.4450124883394573
154,616,210,0.0,0.3213541739040889
155,30,20,0.07415125909346139,0.13823688573227363
156,52,1,0.21507428272967194,0.34690873809316725
157,293,70,0.13658257362033402,0.2653126509332175
158,283,132,0.026022167827680538,0.16078197474450076
159,1366,593,0.02926822349043095,0.24292783321059017
160,3416,1425,0.0030485719464597343,0.3871048476752258
161,58,17,0.1502124819470238,0.24544443550735626
162,772,132,0.15538070339341042,0.35729016467777897
163,11831,2018,0.09757747397196324,0.27775617891342147
164,66,6,0.20338771702754457,0.3633591524219072
165,24,18,0.06035175122211785,0.10285066293037395
166,253,118,0.08810079543143864,0.1876561979516617
167,6301,3123,0.07431957998803491,0.2166257880823914
168,2965,1131,0.10710443071985039,0.22925820684253187
169,4645,2540,0.11674524071105756,0.36266107072741877
170,14145,5891,0.08586780924563737,0.43973614204736555
171,8909,5064,0.0,0.22799916120585167
172,319,270,0.10064656729799538,0.16985696186532429
173,357,213,0.08118826961638359,0.16590555328407705
174,922,221,0.11526624299207064,0.3406254848227791
175,103,52,0.11875481677761429,0.21167876038315392
176,518,219,0.0,0.17780297121097882
177,2320,429,0.1066563603759279,0.2553639073919259
178,434,85,0.15114550433858104,0.2589603031904038
179,5844,2332,0.0669843476771195,0.20659388159087266
180,58,47,0.011688771562724423,0.07313295640766242
181,1183,659,0.10399568144682114,0.20881394147494187
182,1369,828,0.0700182751736036,0.18502605761413113
183,240,167,0.021203727382228203,0.11912752944272532
184,354,269,0.026710731312209437,0.049309043411968616
185,18,11,0.11714542650041644,0.19449537080924012
186,13170,7195,0.035095046167353205,0.19655582198817073
187,5230,1737,0.04767762419848543,0.3595789351729323
188,122,31,0.04470838721587004,0.11405430902406236
189,245,40,0.17895938346167103,0.360606966389283
190,229,0,0.2778317372881095,0.44266279138117093
191,1618,488,0.05706400171532906,0.351304182864572
192,0,0,0.029624260738245586,0.05068183861361357
193,942,434,0.0,0.2149030363913135
194,45,15,0.03906304069896204,0.2050427404678273
195,2,0,0.1462364694697261,0.2382761938382539
196,1530,631,0.11568826070579064,0.34941510247066065
197,2425,2161,0.03918785361052297,0.08485847095068634
198,779,208,0.08255801564378587,0.2599845955572751
199,2,2,0.04328638867080278,0.0743947372769019
