event_idx,n_cand_nomass,n_pass_mass_filter,z_min,z_max
0,292,292,0.15702634936435994,0.27242533965496013
1,1813,1801,0.0,0.30179229613718833
2,7481,7465,0.005422813718299242,0.1769490430612077
3,354,354,0.17915162205037022,0.3260854743120294
4,3632,3597,0.052318176297375396,0.36712881216923715
5,19,19,0.23375696993676873,0.37552726262748315
6,2747,2742,0.08427230776994685,0.2962770586488801
7,915,913,0.05910020607931258,0.30439862134525686
8,596,593,0.04521484093897134,0.3206601215434602
9,993,988,0.0,0.19627036573938478
10,223,222,0.15223798227822635,0.25249820257284716
11,24115,23885,0.008220368585707395,0.34211817968730307
12,4208,4174,0.014830824479182643,0.2944014292598461
13,259,257,0.12888866708110952,0.21154678869694615
14,30233,30213,0.10768607219860644,0.2830713171361202
15,943,936,0.03794917780515823,0.34782514098908224
16,1424,1418,0.03426018598543031,0.3598226160178247
17,146,146,0.07409277675314531,0.12331678727831445
18,308,306,0.06655290391461728,0.11514297228852569
19,1964,1957,0.06922394572675566,0.19836169618529767
20,679,677,0.0775875860051828,0.24332383398302837
21,3393,3267,0.02904958679025733,0.2094507216072262
22,7072,7061,0.02338272524683177,0.3091465609728529
23,751,738,0.047596352148102455,0.19743219265198614
24,1438,1438,0.1980511092831137,0.3823084170698717
25,1,1,0.07136466257046045,0.11924649563506926
26,179,179,0.08819638938557459,0.19157757177345622
27,3621,3617,0.07473357964071155,0.16367083108030034
28,1,1,0.12297211356416167,0.20182605134134907
29,366,363,0.05587895449982659,0.20353950210945013
30,22,22,0.0864904438977662,0.14685965070166673
31,2673,2672,0.08600839749536551,0.2779869191456704
32,370,370,0.08109038936043311,0.16402349819003176
33,0,0,0.06912454362815205,0.11596095226558054
34,732,732,0.1739005490899416,0.41538228686641754
35,182,180,0.043806575929328566,0.11124591574216076
36,2019,1955,0.031288918406801695,0.2901794472787213
37,2365,2357,0.032450424767225275,0.2519322621096878
38,1331,1327,0.11465613744162721,0.2541525783168469
39,1716,1713,0.07575282599137544,0.37076146941694893
40,1559,1484,0.032742935923192946,0.09851587892844839
41,703,701,0.06541337441842936,0.2319445110339529
42,20,20,0.16741623532534278,0.27412469172153175
43,2194,2194,0.14982186427007282,0.26003755942791074
44,658,658,0.16425500304507604,0.2941837912325908
45,136,136,0.09704515030103492,0.20065067326756017
46,20,20,0.11332143395029647,0.1871012737273709
47,1638,1624,0.051051391138247526,0.15088703409869672
48,1568,1564,0.08780880784198515,0.19512992119412187
49,203,203,0.12362420045262469,0.23029156014600696
50,305,305,0.2217709829752272,0.4717520453438864
51,3026,3010,0.047128097087318396,0.24414738303347286
52,4072,4071,0.11050725147232958,0.28178353212490176
53,199,199,0.17248646336177284,0.31133793415226874
54,544,540,0.08352159881284062,0.18860548932571494
55,3,3,0.0771178581755612,0.12950426372851417
56,659,659,0.11958614315247165,0.20689592137800636
57,28,28,0.13597146698898835,0.2226204628274892
58,39,39,0.07288299833959096,0.13330034320499093
59,25,25,0.1740199093685991,0.28858512621301546
60,1153,1153,0.1341496661526384,0.3146017718548709
61,3201,3195,0.021242007602686994,0.2150425853442427
62,2,2,0.1315471018977237,0.2159261816949191
63,6058,6051,0.12471426938390891,0.27159262099402315
64,1,1,0.20437823270968997,0.3282764096912064
65,12,12,0.10205114681730787,0.16938063048956725
66,584,584,0.11113367833262246,0.26416582954929935
67,1,1,0.131429360857324,0.2150059902799423
68,1861,1801,0.007663013745772952,0.12745882097787437
69,1450,1449,0.12296012914567976,0.2743766615651882
70,8601,8383,0.0,0.37619289951864754
71,3,3,0.016249916838072392,0.05278802703356354
72,3,3,0.08216963339300133,0.13736916079797423
73,202,202,0.09272844089988953,0.2877095186355104
74,1500,1500,0.1878576185820198,0.3257946251040345
75,544,544,0.18033842579883086,0.3261370414260845
76,1759,1759,0.16068388274088338,0.3644715820204409
77,6725,6723,0.11645711250173216,0.37160685244106956
78,13,13,0.18106275556700005,0.2937576153025579
79,1580,1579,0.0982898290669737,0.41812351199822195
80,11,11,0.19419369712253898,0.31277560979933333
81,855,853,0.018764623925028305,0.22988533042104586
82,28,27,0.04502017006195684,0.08653811238347625
83,6567,6406,0.044094926287083655,0.15393303076800888
84,2614,2614,0.1265624186975299,0.2883711860118376
85,240,240,0.05460912099011793,0.24820079962041583
86,1020,1000,0.0890381287125027,0.17085854869275005
87,194,194,0.10695165652317352,0.1820871517449446
88,61,61,0.14873762887569203,0.2432340315404906
89,370,370,0.13417339129587588,0.2268056464225113
90,279,272,0.0514346089693606,0.15968324450892257
91,146,140,0.046759848718720555,0.12315384169064884
92,2,2,0.10466309888081973,0.1729502583257837
93,12375,12363,0.0710354174075769,0.3252380021956526
94,2905,2905,0.14487323134969604,0.30801345683928766
95,12548,12272,0.0005426653553278003,0.12627489978740616
96,11783,11723,0.006324037778212195,0.2664512816638094
97,51,51,0.19792872165336484,0.32050214906361574
98,8491,8422,0.03182923835981652,0.26509523525133305
99,1,1,0.09771257811968578,0.1612459527906691
100,6927,6927,0.16250068027317044,0.38877074612635715
101,1459,1452,0.01779892150856673,0.22695208335773534
102,18562,18444,0.03661662988976813,0.3197548565604569
103,20,20,0.15326730321864213,0.25107358604841273
104,1498,1498,0.12235255407786881,0.4451901913729815
105,300,290,0.013506873363267084,0.06954016664095915
106,3820,3782,0.041497401030689704,0.21056040326992703
107,2030,1973,0.0,0.16783457594518555
108,324,324,0.18319682715297783,0.3522440074381533
109,3926,3839,0.0,0.14518187646058156
110,1178,1178,0.21365067211149646,0.371272511415466
111,2779,2777,0.08325180469291399,0.18859072750634248
112,200,200,0.13866728108271595,0.3328856057128866
113,745,745,0.15017851785213523,0.3535028205970017
114,1710,1710,0.14315183923773334,0.3557525369663543
115,743,739,0.04121895265567819,0.12277037614223457
116,405,404,0.10399464336929665,0.19188921881671334
117,460,460,0.1269277746723332,0.2423369492121748
118,3754,3733,0.0,0.27154609347602854
119,186,185,0.1410702301745095,0.2764491727309846
120,263,263,0.10759800527316525,0.1829744131364263
121,34174,33855,0.048496229496154564,0.22387877789031552
122,3589,3491,0.0,0.21114796484477155
123,36812,35708,0.0,0.29839464203158095
124,310,310,0.0910971378612774,0.3001657063077608
125,2537,2536,0.0741170306476931,0.31832133527852174
126,50,50,0.14565986015683022,0.2591912615695876
127,275,275,0.10886231253026528,0.18469784676879772
128,5715,5468,0.0,0.2297112725768394
129,808,797,0.06918694530704286,0.19209899271719644
130,199,199,0.13359787734793194,0.2648420642282837
131,5056,4974,0.02383704950888193,0.44453827636097504
132,4251,4227,0.06040035649481409,0.16283526646749102
133,1192,1192,0.18148306578660767,0.36143476600517366
134,1025,1007,0.007093666095423958,0.2454025269993686
135,1816,1816,0.1642534931752977,0.35166507003643815
136,1111,1111,0.14601336605002746,0.2586208368472863
137,767,767,0.11274244804513273,0.2900810656938856
138,1425,1423,0.07951407632154783,0.3210215706233173
139,11008,10990,0.04850627147112327,0.2339694459467639
140,425,418,0.0,0.11132401319217494
141,11538,11537,0.1315059788970645,0.2323977993897189
142,2245,2245,0.12159968456914129,0.4005209962103596
143,558,545,0.063965929523365,0.1257597075731284
144,331,326,0.01609556777501449,0.08215376175141843
145,25154,25039,0.004910374380292424,0.3031931989307205
146,925,925,0.13641207105315978,0.4937825452319221
147,997,992,0.0489598647539139,0.3244891947436907
148,368,368,0.06674485191162874,0.19923863924930496
149,1121,1114,0.0,0.2068358242106996
150,64,60,0.053744228632739845,0.12983000102783857
151,982,982,0.1686144372856509,0.4179669953108768
152,67,65,0.07614011460792797,0.12804713561241632
153,21,21,0.11481434269507748,0.19324917237109732
154,0,0,0.04350074555312892,0.07467687843894419
155,558,558,0.11915025007520016,0.33158271084907487
156,1861,1861,0.19626088569972114,0.36289788293796676
157,2248,2246,0.12291589560950307,0.34293301398009346
158,874,874,0.1315918195141275,0.34903620317115874
159,28,28,0.12924963516863783,0.21240522093564854
160,13400,13288,0.0,0.1740255887296553
161,6339,6332,0.06996276108770585,0.25828673641404043
162,124,124,0.058862054039624,0.10124808771510019
163,10,10,0.070265983540994,0.11858281172147894
164,15670,15670,0.1469054047811042,0.33690608023655366
165,2294,2267,0.046811111310657974,0.1975502161919063
166,920,920,0.13421752801190845,0.38734370851867433
167,2,2,0.05160421117381231,0.08706359552887309
168,137,137,0.17999330543756364,0.3579644425704795
169,2215,2213,0.09871908094577517,0.25720010809316174
170,527,523,0.0,0.18616716233678265
171,3381,3316,0.05850018354347332,0.17168614314432812
172,4020,4017,0.10663709011989718,0.22171301349885358
173,31,31,0.09703642429688625,0.16241280600684746
174,877,876,0.11180040626656311,0.36281907350957826
175,8226,8205,0.07069736815953673,0.20113304813734098
176,2736,2731,0.06632343022559227,0.2802037588659749
177,25,25,0.1587215705073753,0.2619903377509602
178,21595,21484,0.0,0.20143576904612173
179,21996,21845,0.08697236087978903,0.334434277370177
180,954,950,0.028649439573025362,0.2639376249611522
181,141,131,0.06281496230356405,0.10920872246911331
182,805,797,0.0,0.17151138882069866
183,500,500,0.1454184566933239,0.2879897932454488
184,3162,3134,0.02866319513719402,0.2187898415137673
185,10802,10730,0.044723348841699984,0.2651112342058224
186,11806,11595,0.042571928151908515,0.18533842831367583
187,4120,4065,0.0,0.2073152475466385
188,240,240,0.22701655567424578,0.39961673849406476
189,509,509,0.18332778719405496,0.36070785590078475
190,7788,7787,0.08317095033212846,0.4024280907890843
191,2905,2903,0.10091890268955699,0.2437169965177349
192,17275,17224,0.04569525350984533,0.31499595888343274
193,173,173,0.1293449584212856,0.2671444879941597
194,3997,3929,0.010254114012238455,0.1778003965074067
195,7065,6953,0.012266278230377129,0.27638475213432684
196,64,64,0.1583060988038334,0.25787450850512783
197,204,204,0.1307483798442821,0.22624218927351408
198,1094,1089,0.0,0.36342101472125354
199,531,531,0.07281678287616393,0.2170190111879505
