event_idx,h,w_G,w_G_legacy,w_tilde_G,alpha_G_phi,r_Malm,D_tilde_phi,L_cat_no_bh,L_cat_with_bh,B_num,B_num_wbh,g_frac,L_comp,combined_no_bh,combined_with_bh
0,0.73,0.0619668411108587,0.1215039,0.06196684,58688310.0,0.3827762,947092100.0,0.0797050069719356,0.0006416451259485,26642520.291520435,3497867.583052792,0.1312889,0.0199438925541337,0.0410341419508865,0.0037330314903694
1,0.73,0.0619668411108587,0.1215039,0.06196684,58688310.0,0.3827762,947092100.0,0.090513039352501,0.0240824501483854,2384193.9497525413,243397.61606832623,0.102088,0.0017847451157694,0.0171703499220118,0.0017493080248753
2,0.73,0.0619668411108587,0.1215039,0.06196684,58688310.0,0.3827762,947092100.0,0.0789795744643595,0.0030720234100377,8687959.33716551,1265524.3362840624,0.1456642,0.0065035787019841,0.0219591373221204,0.0015265845632984
3,0.73,0.0619668411108587,0.1215039,0.06196684,58688310.0,0.3827762,947092100.0,0.0161859455511686,0.0060202970216549,382853.7423542921,38294.033460338855,0.1000226,0.0002865942792916,0.0030245501498532,0.0004134920618367
5,0.73,0.0619668411108587,0.1215039,0.06196684,58688310.0,0.3827762,947092100.0,0.091003328465306,0.0004616666300223,13424266.800613835,2511981.667190236,0.1871224,0.0100490543597213,0.0289065319504008,0.0026809178208683
7,0.73,0.0619668411108587,0.1215039,0.06196684,58688310.0,0.3827762,947092100.0,0.0163752195886949,0.0119688918836393,488224.1096801054,40039.61617315888,0.08201073,0.0003654717751644,0.0031664480543195,0.0007839507915848
8,0.73,0.0619668411108587,0.1215039,0.06196684,58688310.0,0.3827762,947092100.0,0.0075611790748463,1.0295787441383624e-07,19356417.793328576,5220756.4293639455,0.2697171,0.0144897071477856,0.0216617988270586,0.0055124126257154
9,0.73,0.0619668411108587,0.1215039,0.06196684,58688310.0,0.3827762,947092100.0,0.0182476516807881,3.095708068201504e-05,36558793.872981794,5331723.440129813,0.1458397,0.0273669551128588,0.0415551708232579,0.0056314905765169
11,0.73,0.0619668411108587,0.1215039,0.06196684,58688310.0,0.3827762,947092100.0,0.1271121114056788,0.0,3660820.830931981,474722.6447891388,0.1296766,0.0027403945465053,0.0244432408500339,0.0005012423214023
12,0.73,0.0619668411108587,0.1215039,0.06196684,58688310.0,0.3827762,947092100.0,0.0608233990395238,0.0076912295648479,301206.9134092677,33715.127857024294,0.1119334,0.0002254756026031,0.0101646061686364,0.0005121997738726
13,0.73,0.0619668411108587,0.1215039,0.06196684,58688310.0,0.3827762,947092100.0,0.0117587581873857,0.000350535422238,2307650.6826208658,457209.28189674666,0.1981276,0.0017274468317215,0.0043401649200357,0.000504472173275
14,0.73,0.0619668411108587,0.1215039,0.06196684,58688310.0,0.3827762,947092100.0,0.1063477429412872,0.0011646070252363,17161966.77707161,2904776.313514958,0.1692566,0.0128469986200391,0.0353371081399407,0.0031392143534388
