event_idx,h,w_G,w_G_legacy,w_tilde_G,alpha_G_phi,r_Malm,D_tilde_phi,L_cat_no_bh,L_cat_with_bh,B_num,B_num_wbh,g_frac,L_comp,combined_no_bh,combined_with_bh
0,0.5,0.11073739779008013,0.2101616,0.1107374,1.414703e+08,0.3929375,1.277529e+09,0.0,0.0,185182856.57049838,17820802.008021306,0.09623354,0.10357104283219316,0.14495391060594362,0.013949428089816342
1,0.5,0.11073739779008013,0.2101616,0.1107374,1.414703e+08,0.3929375,1.277529e+09,0.0,0.0,108518591.68538477,17819412.78176345,0.1642061,0.060693435211468826,0.08494411701796886,0.013948340657736926
2,0.5,0.11073739779008013,0.2101616,0.1107374,1.414703e+08,0.3929375,1.277529e+09,0.0,0.0,233251890.7228126,44682215.39533564,0.1915621,0.1304556048661316,0.18258047393080512,0.0349754938229138
3,0.5,0.11073739779008013,0.2101616,0.1107374,1.414703e+08,0.3929375,1.277529e+09,0.0,0.0,119064844.28512426,21097803.066283163,0.1771959,0.06659185583179725,0.09319931182855525,0.016514536584478944
4,0.5,0.11073739779008013,0.2101616,0.1107374,1.414703e+08,0.3929375,1.277529e+09,0.0,0.0,21528809.90544673,4952591.241031383,0.2300448,0.012040862389409716,0.016851911911718708,0.0038766950748863826
5,0.5,0.11073739779008013,0.2101616,0.1107374,1.414703e+08,0.3929375,1.277529e+09,0.03937139357143543,7.292188351668844e-07,42714838.63405818,10309345.657227552,0.2413528,0.0238900104667845,0.04453112855414116,0.008069834056604067
6,0.5,0.11073739779008013,0.2101616,0.1107374,1.414703e+08,0.3929375,1.277529e+09,0.000360048183089115,0.0,525418679.44539726,93476034.18927853,0.1779077,0.2938617621602399,0.4113786985290771,0.07316939026973313
7,0.5,0.11073739779008013,0.2101616,0.1107374,1.414703e+08,0.3929375,1.277529e+09,0.0,0.0,146979220.0907951,34700054.503001645,0.2360882,0.08220410561423017,0.11504959543521036,0.027161847978809016
8,0.5,0.11073739779008013,0.2101616,0.1107374,1.414703e+08,0.3929375,1.277529e+09,0.007724634578687741,0.0,307831001.15215343,49319241.88165141,0.1602153,0.1721670050665251,0.24313504149307022,0.03860517712742057
9,0.5,0.11073739779008013,0.2101616,0.1107374,1.414703e+08,0.3929375,1.277529e+09,0.00457416499430946,0.0,119944112.46858506,24738075.289180808,0.2062467,0.06708362231805151,0.09517665683094416,0.019363999564753917
