event_idx,h,w_G,w_G_legacy,w_tilde_G,alpha_G_phi,r_Malm,D_tilde_phi,L_cat_no_bh,L_cat_with_bh,B_num,B_num_wbh,g_frac,L_comp,combined_no_bh,combined_with_bh
0,0.5,0.11073739779008013,0.2101616,0.1107374,1.414703e+08,0.3929375,1.277529e+09,0.0031935528402135607,0.0,23520473.841815166,1798193.5439078799,0.07645227,0.013154781435055392,0.019310913665006608,0.0014075557049017513
1,0.5,0.11073739779008013,0.2101616,0.1107374,1.414703e+08,0.3929375,1.277529e+09,2.6830662297089786e-05,0.0,910159292.2393054,133878974.4245261,0.147094,0.5090435949979472,0.7124447228504854,0.10479523455974053
2,0.5,0.11073739779008013,0.2101616,0.1107374,1.414703e+08,0.3929375,1.277529e+09,0.011881443965156554,0.0,271028801.436421,30444794.65457862,0.1123305,0.15158387834698467,0.21549918561899292,0.023830996694319016
3,0.5,0.11073739779008013,0.2101616,0.1107374,1.414703e+08,0.3929375,1.277529e+09,0.04683588759826681,0.0006516990499103957,21468474.152692143,3204773.6827929197,0.1492781,0.012007117166182323,0.030003942731203947,0.002580739181823303
4,0.5,0.11073739779008013,0.2101616,0.1107374,1.414703e+08,0.3929375,1.277529e+09,0.006854105753821497,0.0,350693058.1284595,55093818.84890244,0.1570998,0.1961393533777139,0.27644045449877747,0.04312529053856339
5,0.5,0.11073739779008013,0.2101616,0.1107374,1.414703e+08,0.3929375,1.277529e+09,0.00019688653492800484,0.0,409783128.20254713,42342386.632785015,0.1033288,0.22918787791146714,0.3208177213055556,0.033143967214235216
6,0.5,0.11073739779008013,0.2101616,0.1107374,1.414703e+08,0.3929375,1.277529e+09,0.018286741020658682,0.0,339239304.0444203,67281677.0983772,0.198331,0.1897333756495551,0.27069684076826755,0.05266547016366659
7,0.5,0.11073739779008013,0.2101616,0.1107374,1.414703e+08,0.3929375,1.277529e+09,3.605030427845004e-09,0.0,296089931.0065815,45818795.174731165,0.1547462,0.16560033414750364,0.2317676396910343,0.03586516410228063
8,0.5,0.11073739779008013,0.2101616,0.1107374,1.414703e+08,0.3929375,1.277529e+09,0.07602236733826966,1.5230062360573428e-05,77080547.46043293,12302403.26789754,0.1596045,0.04311043057873007,0.08176021730913118,0.009631527531174185
9,0.5,0.11073739779008013,0.2101616,0.1107374,1.414703e+08,0.3929375,1.277529e+09,0.0018667761947481823,0.0,439227383.72391784,39316133.58262471,0.08951203,0.24565577513609477,0.34433614224197046,0.030775134471141084
10,0.5,0.11073739779008013,0.2101616,0.1107374,1.414703e+08,0.3929375,1.277529e+09,0.008565252248953355,0.0,560744188.9723572,95479675.6930739,0.1702731,0.3136189898434243,0.44134251354042114,0.07473776261697006
11,0.5,0.11073739779008013,0.2101616,0.1107374,1.414703e+08,0.3929375,1.277529e+09,0.0,0.0,37882647.08973632,3893470.489039063,0.1027771,0.021187410848877687,0.029653057207656024,0.0030476566981792563
12,0.5,0.11073739779008013,0.2101616,0.1107374,1.414703e+08,0.3929375,1.277529e+09,0.0,0.0,852234629.3826879,109337378.72411127,0.1282949,0.4766468718408057,0.667095996738761,0.08558503154653206
13,0.5,0.11073739779008013,0.2101616,0.1107374,1.414703e+08,0.3929375,1.277529e+09,0.023821835562180517,0.0,263909033.49291208,60438929.253835745,0.2290142,0.1476018586055854,0.2132911425987259,0.04730923429104914
14,0.5,0.11073739779008013,0.2101616,0.1107374,1.414703e+08,0.3929375,1.277529e+09,0.015871281464448665,0.0,191562465.18863145,38621339.74402991,0.2016123,0.10713909837295942,0.15442045336228338,0.0302312769789607
15,0.5,0.11073739779008013,0.2101616,0.1107374,1.414703e+08,0.3929375,1.277529e+09,0.1399152713965808,0.0,100109240.34770425,22657795.431337923,0.2263307,0.05599016351712439,0.11779243560724346,0.017735637705921126
16,0.5,0.11073739779008013,0.2101616,0.1107374,1.414703e+08,0.3929375,1.277529e+09,0.07325736710340003,0.0,47659554.868297696,10749745.320471797,0.2255528,0.02665554409324358,0.05795138233763523,0.008414480968043186
17,0.5,0.11073739779008013,0.2101616,0.1107374,1.414703e+08,0.3929375,1.277529e+09,0.0,0.0,233761704.51404852,39706082.81955642,0.1698571,0.1307407389600019,0.1829795362635128,0.031080371510237823
18,0.5,0.11073739779008013,0.2101616,0.1107374,1.414703e+08,0.3929375,1.277529e+09,0.0728156251737552,2.8289853890137854e-05,36602291.21365436,8676777.272549275,0.2370556,0.020471319760652945,0.049171696600624905,0.006794975253367493
19,0.5,0.11073739779008013,0.2101616,0.1107374,1.414703e+08,0.3929375,1.277529e+09,0.0,0.0,1207754869.50244,159760929.00799027,0.1322793,0.6754860230401858,0.9453833612351789,0.12505461817914326
20,0.5,0.11073739779008013,0.2101616,0.1107374,1.414703e+08,0.3929375,1.277529e+09,0.0,0.0,94420577.80277325,22765351.186044563,0.2411058,0.05280854766450014,0.07390874213550265,0.017819828151741178
21,0.5,0.11073739779008013,0.2101616,0.1107374,1.414703e+08,0.3929375,1.277529e+09,0.04728452838409274,0.0,86637460.09361495,20738960.201000392,0.2393764,0.04845552259213684,0.0811421163896421,0.01623364839871982
22,0.5,0.11073739779008013,0.2101616,0.1107374,1.414703e+08,0.3929375,1.277529e+09,0.0,0.0,904470513.9544113,112047002.51027803,0.1238813,0.5058619144130421,0.7079842078985744,0.08770601926294214
23,0.5,0.11073739779008013,0.2101616,0.1107374,1.414703e+08,0.3929375,1.277529e+09,0.04899582465188785,0.0,101582915.95361401,20785506.112387035,0.2046162,0.056814376525429144,0.09332311216585745,0.016270082721006253
