event_idx,h,w_G,w_G_legacy,w_tilde_G,alpha_G_phi,r_Malm,D_tilde_phi,L_cat_no_bh,L_cat_with_bh,B_num,B_num_wbh,g_frac,L_comp,combined_no_bh,combined_with_bh
0,0.5,0.11073739779008013,0.2101616,0.1107374,1.414703e+08,0.3929375,1.277529e+09,0.02016806138997523,0.0,188438755.2643695,41093563.02283702,0.2180738,0.10539203657494726,0.15318625089861004,0.03216643684629816
1,0.5,0.11073739779008013,0.2101616,0.1107374,1.414703e+08,0.3929375,1.277529e+09,0.0,0.0,316899180.6966076,73679412.72623846,0.2325011,0.17723875322616714,0.24805630694170258,0.05767336784629259
2,0.5,0.11073739779008013,0.2101616,0.1107374,1.414703e+08,0.3929375,1.277529e+09,0.0,0.0,60172844.441433944,11070037.632473174,0.1839707,0.03365411012874235,0.04710095348782151,0.008665193285702805
3,0.5,0.11073739779008013,0.2101616,0.1107374,1.414703e+08,0.3929375,1.277529e+09,2.717315199090567e-05,0.0,391934354.2790608,33150993.127142172,0.08458302,0.2192052252903387,0.3067985693774607,0.025949303208964346
4,0.5,0.11073739779008013,0.2101616,0.1107374,1.414703e+08,0.3929375,1.277529e+09,0.0,0.0,247640567.052336,52309113.066470325,0.21123,0.1385030572060641,0.19384336802928545,0.04094553156666931
5,0.5,0.11073739779008013,0.2101616,0.1107374,1.414703e+08,0.3929375,1.277529e+09,0.0,0.0,698827189.161277,85469254.86968271,0.1223038,0.39084752272070966,0.5470146415422799,0.06690199600209816
6,0.5,0.11073739779008013,0.2101616,0.1107374,1.414703e+08,0.3929375,1.277529e+09,0.009063829186516464,0.0,687945211.4451123,94338189.84991108,0.1371304,0.38476133417705904,0.5410510166461077,0.07384425206241836
7,0.5,0.11073739779008013,0.2101616,0.1107374,1.414703e+08,0.3929375,1.277529e+09,0.055175296674707955,0.0,146215800.31331792,19396693.171506446,0.132658,0.081777132059894,0.13000148635447203,0.015182974169982561
8,0.5,0.11073739779008013,0.2101616,0.1107374,1.414703e+08,0.3929375,1.277529e+09,0.06264256366316094,1.1270136081367809e-05,26032440.469320845,5688588.301559103,0.2185192,0.014559700918362888,0.03803106452483346,0.004454052866169197
9,0.5,0.11073739779008013,0.2101616,0.1107374,1.414703e+08,0.3929375,1.277529e+09,0.0,0.0,173727345.5444139,33910699.44765839,0.1951949,0.0971640824627511,0.13598698379655888,0.026543971657816978
10,0.5,0.11073739779008013,0.2101616,0.1107374,1.414703e+08,0.3929375,1.277529e+09,0.0,0.0,229576642.6740392,30018854.658148214,0.1307574,0.1284000729441822,0.17970363323948685,0.023497587493761813
