event_idx,h,w_G,w_G_legacy,w_tilde_G,alpha_G_phi,r_Malm,D_tilde_phi,L_cat_no_bh,L_cat_with_bh,B_num,B_num_wbh,g_frac,L_comp,combined_no_bh,combined_with_bh
0,0.5,0.11073739779008013,0.2101616,0.1107374,1.414703e+08,0.3929375,1.277529e+09,0.008272567888506851,0.0,330610732.6596806,54137815.411780424,0.1637509,0.1849074962295058,0.26112054420701053,0.04237696837024862
1,0.5,0.11073739779008013,0.2101616,0.1107374,1.414703e+08,0.3929375,1.277529e+09,0.0,0.0,210693702.94914147,23558212.09657869,0.1118126,0.1178390210451876,0.16492280521063407,0.018440448719308448
2,0.5,0.11073739779008013,0.2101616,0.1107374,1.414703e+08,0.3929375,1.277529e+09,0.0,0.0,562332024.430692,68897127.11498299,0.1225204,0.31450705139140595,0.4401715553467253,0.05392998136968258
3,0.5,0.11073739779008013,0.2101616,0.1107374,1.414703e+08,0.3929375,1.277529e+09,0.0451347356115716,0.0001088232321841818,29230240.10656812,7066113.644165069,0.2417398,0.016348200401153958,0.0356001325582418,0.005543128701938844
4,0.5,0.11073739779008013,0.2101616,0.1107374,1.414703e+08,0.3929375,1.277529e+09,0.08318319858211394,3.279920852883436e-07,73721915.43304949,17021870.00860749,0.2308929,0.04123197904165013,0.08114927206873392,0.013324091631878686
5,0.5,0.11073739779008013,0.2101616,0.1107374,1.414703e+08,0.3929375,1.277529e+09,0.0,0.0,101161052.05533858,17644152.941653606,0.1744165,0.05657843198560071,0.07918492223307047,0.01381115409702296
6,0.5,0.11073739779008013,0.2101616,0.1107374,1.414703e+08,0.3929375,1.277529e+09,0.00013249964630129913,0.0,5255991.054939837,864619.9633723628,0.1645018,0.0029396267276477566,0.004151525568409311,0.0006767907526638626
7,0.5,0.11073739779008013,0.2101616,0.1107374,1.414703e+08,0.3929375,1.277529e+09,0.02596457193357986,0.0,231205773.45514512,37702730.220916025,0.16307,0.129311230580661,0.18829617193912704,0.02951222530667738
8,0.5,0.11073739779008013,0.2101616,0.1107374,1.414703e+08,0.3929375,1.277529e+09,0.0,0.0,958875580.0470587,115031961.79431875,0.1199655,0.5362901599586806,0.7505703696683699,0.09004252885802173
9,0.5,0.11073739779008013,0.2101616,0.1107374,1.414703e+08,0.3929375,1.277529e+09,0.08231745777680707,0.0,143034651.04631168,16374629.694352495,0.1144802,0.07999794497373262,0.13516059303654468,0.012817420861077353
10,0.5,0.11073739779008013,0.2101616,0.1107374,1.414703e+08,0.3929375,1.277529e+09,0.0,0.0,9185794.521567376,2179398.50754651,0.2372575,0.0051375291183003895,0.007190281339120292,0.001705948068240092
11,0.5,0.11073739779008013,0.2101616,0.1107374,1.414703e+08,0.3929375,1.277529e+09,0.0,0.0,414153934.12355953,56656248.20035633,0.1368,0.23163242885770466,0.3241835311099216,0.04434829923781914
12,0.5,0.11073739779008013,0.2101616,0.1107374,1.414703e+08,0.3929375,1.277529e+09,0.01876047338612759,0.0,295446579.0638313,70941853.31320043,0.2401174,0.1652405134121896,0.23655111226262807,0.055530513211771354
13,0.5,0.11073739779008013,0.2101616,0.1107374,1.414703e+08,0.3929375,1.277529e+09,0.0,0.0,589998183.2811893,57374270.935447924,0.09724483,0.32998047574813777,0.461827544411232,0.04491033940332377
14,0.5,0.11073739779008013,0.2101616,0.1107374,1.414703e+08,0.3929375,1.277529e+09,9.572136679815915e-05,0.0,628653688.2984928,112949853.47275428,0.1796694,0.3516001388205834,0.49211254076545363,0.08841273574917072
15,0.5,0.11073739779008013,0.2101616,0.1107374,1.414703e+08,0.3929375,1.277529e+09,0.02475218949052442,0.0,187037809.3439564,24729542.3220052,0.1322168,0.1046085006007441,0.1533815411158845,0.019357320291174908
16,0.5,0.11073739779008013,0.2101616,0.1107374,1.414703e+08,0.3929375,1.277529e+09,0.0,0.0,545050506.611652,79738092.45500132,0.1462949,0.304841659813651,0.4266442578664508,0.06241586580780771
