event_idx,h,w_G,w_G_legacy,w_tilde_G,alpha_G_phi,r_Malm,D_tilde_phi,L_cat_no_bh,L_cat_with_bh,B_num,B_num_wbh,g_frac,L_comp,combined_no_bh,combined_with_bh
1,0.6,0.0832024811136007,0.1625175,0.08320248,9.297923e+07,0.3840379,1.117505e+09,0.01681422416061995,0.01837716535574132,264165.7372860232,24159.2312426454,0.09145482,0.0001676738244369539,0.0038792194998582713,0.001550644646652181
5,0.6,0.0832024811136007,0.1625175,0.08320248,9.297923e+07,0.3840379,1.117505e+09,0.0035387756713418125,0.0009864142273960641,57876.07863139018,6350.8390054631955,0.1097317,3.673566279729836e-05,0.0008184722884802995,8.77551607608764e-05
7,0.6,0.0832024811136007,0.1625175,0.08320248,9.297923e+07,0.3840379,1.117505e+09,0.023799407521421238,0.004469600494531605,1506543.239933999,191298.03283036622,0.1269781,0.0009562476546527457,0.006504313323965842,0.0005430649361262461
8,0.6,0.0832024811136007,0.1625175,0.08320248,9.297923e+07,0.3840379,1.117505e+09,0.005941949496733388,0.00043167573745119225,1772.3765431677934,181.24527216709603,0.1022612,1.1249799326304056e-06,0.0012889196427167376,3.607867976285793e-05
16,0.6,0.0832024811136007,0.1625175,0.08320248,9.297923e+07,0.3840379,1.117505e+09,0.0876938938608558,0.0005905126800965318,62202293.16295877,7960626.190075919,0.1279796,0.03948163940764665,0.0746607689904711,0.007172700160663551
21,0.6,0.0832024811136007,0.1625175,0.08320248,9.297923e+07,0.3840379,1.117505e+09,0.06926717754773772,0.0044130004643089605,5017221.930045276,642685.2949943013,0.1280958,0.003184579490521827,0.01949651588006109,0.0009422796608024908
22,0.6,0.0832024811136007,0.1625175,0.08320248,9.297923e+07,0.3840379,1.117505e+09,0.05485967404035722,0.0020861488558453394,9812849.91541536,1555055.9413265432,0.1584714,0.006228506735383459,0.02066647406023822,0.0015651149008569685
24,0.6,0.0832024811136007,0.1625175,0.08320248,9.297923e+07,0.3840379,1.117505e+09,0.11904540194681978,0.0,1413200.4924586695,181649.01327294376,0.1285373,0.0008970002457592327,0.027055994904550514,0.00016254865818995717
27,0.6,0.0832024811136007,0.1625175,0.08320248,9.297923e+07,0.3840379,1.117505e+09,0.05976837425712088,0.001688368219252313,14406349.651130522,1603242.495109063,0.1112872,0.009144137188259186,0.025840446664790056,0.0015751383128619245
29,0.6,0.0832024811136007,0.1625175,0.08320248,9.297923e+07,0.3840379,1.117505e+09,0.018580332848781356,0.0014520686808228258,736928.9814815003,114476.72934795519,0.155343,0.00046775067021520957,0.004684902290172963,0.00022325524261436423
30,0.6,0.0832024811136007,0.1625175,0.08320248,9.297923e+07,0.3840379,1.117505e+09,0.09390265343094971,0.006734925415656543,9489508.400158033,1140702.3710148444,0.1202067,0.006023272290449619,0.028835860820805526,0.0015811202641904602
31,0.6,0.0832024811136007,0.1625175,0.08320248,9.297923e+07,0.3840379,1.117505e+09,0.08419874256260394,0.0012330229448107657,21033798.94119199,2747858.981485585,0.1306402,0.013350775718082549,0.03706390260236161,0.0025615127627223095
32,0.6,0.0832024811136007,0.1625175,0.08320248,9.297923e+07,0.3840379,1.117505e+09,0.015553152772483205,0.0,18.49076370180434,2.9117964330433974,0.157473,1.1736635865402144e-08,0.0033696339836464394,2.605621657863451e-09
33,0.6,0.0832024811136007,0.1625175,0.08320248,9.297923e+07,0.3840379,1.117505e+09,0.06625889007440892,0.014425724307128159,3792576.6127396137,407298.0797529493,0.1073935,0.0024072608039992214,0.01774889107524736,0.0015647268275711841
37,0.6,0.0832024811136007,0.1625175,0.08320248,9.297923e+07,0.3840379,1.117505e+09,0.0002653007956826437,1.4958865024272079e-05,52.938243275236495,6.488576826195154,0.1225688,3.360147231857687e-08,5.7525247847436316e-05,1.2504209890168667e-06
38,0.6,0.0832024811136007,0.1625175,0.08320248,9.297923e+07,0.3840379,1.117505e+09,0.054802490293802665,0.0,83115219.09234445,9257374.439925235,0.11138,0.052755693441952196,0.08624872576253319,0.008283963487931515
39,0.6,0.0832024811136007,0.1625175,0.08320248,9.297923e+07,0.3840379,1.117505e+09,0.00015978553462753437,6.901606285243435e-06,87860.08917291065,8543.310555946564,0.09723767,5.576740313995741e-05,0.00011323943181858056,8.219214035971401e-06
41,0.6,0.0832024811136007,0.1625175,0.08320248,9.297923e+07,0.3840379,1.117505e+09,0.0023691007160865723,0.0010904057623833843,5435.670491855045,673.062344001948,0.1238232,3.4501811972746554e-06,0.0005181338768497979,9.132675483265143e-05
43,0.6,0.0832024811136007,0.1625175,0.08320248,9.297923e+07,0.3840379,1.117505e+09,0.051680884063121435,0.00017044612331679887,32115789.273807447,4239996.2836867785,0.1320222,0.020384843498913178,0.039935573747902665,0.003808343117265454
44,0.6,0.0832024811136007,0.1625175,0.08320248,9.297923e+07,0.3840379,1.117505e+09,0.026748027314291285,0.009300754770722282,347253.4134349769,36672.37897860366,0.105607,0.0002204120355562475,0.006105746151815107,0.0008066621592877033
46,0.6,0.0832024811136007,0.1625175,0.08320248,9.297923e+07,0.3840379,1.117505e+09,4.203569398538469e-05,7.1389736769163545e-28,2650.0318385193523,327.0566002389945,0.1234161,1.6820537659777037e-06,1.1478487329963012e-05,2.9266666833546874e-07
47,0.6,0.0832024811136007,0.1625175,0.08320248,9.297923e+07,0.3840379,1.117505e+09,0.020237331940979108,0.0022526087509445016,1108791.6066651281,147329.58612992172,0.132874,0.0007037829019886803,0.0053766553574896014,0.00031926054856317647
48,0.6,0.0832024811136007,0.1625175,0.08320248,9.297923e+07,0.3840379,1.117505e+09,0.0,0.0,0.0,0.0,nan,0.0,0.0,0.0
50,0.6,0.0832024811136007,0.1625175,0.08320248,9.297923e+07,0.3840379,1.117505e+09,0.008495383545987896,0.0007273730806845227,49324.69747980862,8483.152091948503,0.1719859,3.130784768155047e-05,0.001884677748496267,6.811039546325253e-05
56,0.6,0.0832024811136007,0.1625175,0.08320248,9.297923e+07,0.3840379,1.117505e+09,0.006970521614240917,0.0030554533054860202,591848.6355144783,54302.20518953617,0.09175016,0.0003756638738393873,0.0020397914361526275,0.0003028136358148729
60,0.6,0.0832024811136007,0.1625175,0.08320248,9.297923e+07,0.3840379,1.117505e+09,0.0480313216517447,0.009549587194992602,3568686.949270815,413204.99631103413,0.1157863,0.002265151397565981,0.013599509150788782,0.0011643059271306442
61,0.6,0.0832024811136007,0.1625175,0.08320248,9.297923e+07,0.3840379,1.117505e+09,0.005525065064399235,0.0010406085954422556,73402.33329170368,12513.178624453809,0.1704739,4.6590636893572216e-05,0.0012626989917644126,9.777863756436583e-05
65,0.6,0.0832024811136007,0.1625175,0.08320248,9.297923e+07,0.3840379,1.117505e+09,0.0008265716378393973,0.0001408653938024824,360.62773051464586,44.53740390832095,0.1234997,2.2890111107762178e-07,0.00017940088215534841,1.176020457277779e-05
66,0.6,0.0832024811136007,0.1625175,0.08320248,9.297923e+07,0.3840379,1.117505e+09,0.03583948689688578,0.005958649252994651,2273156.9757737755,270929.1513726084,0.1191863,0.0014428401184398995,0.00979882180080171,0.0007382154107059246
69,0.6,0.0832024811136007,0.1625175,0.08320248,9.297923e+07,0.3840379,1.117505e+09,0.011940815142718334,0.004602764131602018,213205.3252556697,26453.46187635649,0.1240751,0.000135327740240726,0.0027777850751985957,0.000406633281720459
72,0.6,0.0832024811136007,0.1625175,0.08320248,9.297923e+07,0.3840379,1.117505e+09,0.013372765485039404,0.004261303154238924,75609.16920707448,8399.972974312097,0.1110973,4.799138106893968e-05,0.0029648916429593293,0.0003620677128138271
